container_id,day1_mae_R0,day1_rmse_R0,peak_mae_R0,peak_rmse_R0,non_peak_mae_R0,non_peak_rmse_R0,residual_mae_scaled_R0,residual_rmse_scaled_R0,residual_pearson_r_R0,residual_r2_R0,residual_std_actual_R0,residual_std_predicted_R0,residual_std_ratio_R0,variant_id_R0,day1_mae_R3,day1_rmse_R3,peak_mae_R3,peak_rmse_R3,non_peak_mae_R3,non_peak_rmse_R3,residual_mae_scaled_R3,residual_rmse_scaled_R3,residual_pearson_r_R3,residual_r2_R3,residual_std_actual_R3,residual_std_predicted_R3,residual_std_ratio_R3,variant_id_R3
c_12767,0.5192210566753498,0.6406139256207006,1.3245107391485458,1.3521593195304429,0.43591522745398464,0.5135190953772221,0.10384421133506995,0.1281227851241401,-0.13108053362984515,-0.02357638917127103,0.1266386409126281,0.008018873507468558,0.06332090623904457,R0,0.5172772929772207,0.6377267380523105,1.3200321526599261,1.347210417250625,0.4342336868031477,0.5108925534049101,0.10345545859544414,0.12754534761046207,-0.06647810606645406,-0.014370852502533449,0.1266386409126281,0.007842003692289755,0.061924256575843974,R3
c_12858,0.30997308002796986,0.4179351052804956,0.9754453224152021,1.057170524525646,0.24113112391894584,0.2777125478302512,0.04132974400372932,0.05572468070406608,-0.08233438550999445,-0.005175678206298162,0.05558103156772683,0.0014608513028570803,0.02628327077875476,R0,0.3098824235164762,0.41795518031667156,0.9739460833074529,1.056703192525294,0.24118618284844412,0.27792979371713833,0.04131765646886349,0.05572735737555621,-0.04429947048747525,-0.005272245460325564,0.05558103156772683,0.0021722250741250467,0.039082129511722685,R3
c_1286,0.3940243122558666,0.557132147042784,1.1864406443480269,1.2735728383472875,0.29147631633805765,0.37504780070938704,0.09850607806396666,0.139283036760696,0.041760400394257116,0.001256942512495418,0.13937065475252428,0.002744585543663269,0.019692707539738088,R0,0.39369409256439075,0.5565190714588228,1.1897517930360153,1.2749403997373023,0.29067486073865106,0.3734149329136037,0.09842352314109769,0.1391297678647057,0.0765882388753199,0.003453793267538696,0.13937065475252428,0.003914801506665261,0.028089137656823387,R3
c_12971,0.9669052495554027,1.3429872957026276,2.105706010888273,2.4840295179494096,0.6283428610510359,0.7109013114618349,0.10177949995320028,0.14136708375817134,0.02421599538407849,-0.009333746369337037,0.14071192427438192,0.0018633451297568272,0.01324226883660114,R0,0.9704627558417629,1.3422608878521334,2.0963861628898104,2.4736104694293086,0.6357287699626137,0.7198657846299218,0.10215397429913294,0.14129061977390878,0.0014341066766403177,-0.008242165424960923,0.14071192427438192,0.001903483404853581,0.013527520248688193,R3
c_12974,0.5601840242987289,0.707325520636687,1.4780048977110065,1.5218682658245672,0.46523703739401073,0.5589908238416276,0.1120368048597458,0.1414651041273374,0.06800398139782575,-0.00808496437159123,0.1408966784272262,0.0071091607988506954,0.05045655354127181,R0,0.5612621921300255,0.7096498584420842,1.4906088852883863,1.5340467424132467,0.4651228790446778,0.5587978249857012,0.11225243842600512,0.1419299716884168,0.015107298335961989,-0.014721173012177902,0.1408966784272262,0.008977274254598117,0.06371530084887644,R3
c_12993,5.1147462150708245,5.917629782208192,9.095620703944252,10.39001875667991,4.896016847550306,5.568749545109022,0.07749615477380038,0.08966105730618473,-0.04255708529650309,-0.272129497019,0.07949470361682644,0.0014323139549884203,0.01801772809786596,R0,5.117218731120674,5.921903740742303,9.033107595653536,10.339430503303797,4.902060002300187,5.578707066069303,0.07753361713819204,0.08972581425367127,0.13695092081534108,-0.273967730347098,0.07949470361682644,0.0017463825469739881,0.021968539632423206,R3
c_12999,1.428679575858524,1.9681596056832011,2.896729118802965,3.623955034302106,1.2189582125807468,1.5971478049904573,0.05102427056637585,0.07029141448868576,-0.005750521273173728,-0.04412963895926336,0.06878996220400194,0.0021003428039533117,0.030532693094445715,R0,1.4384360329979078,1.9739832923631386,2.8773965447982213,3.603123352905793,1.232870245597863,1.6120254522970892,0.05137271546421098,0.07049940329868348,0.024521184110885625,-0.05031783637371867,0.06878996220400194,0.0020567814728295604,0.02989944182161369,R3
c_13020,0.9729122304369134,1.1862921043698618,1.2738647799213483,1.4981457844281372,0.8152704188022096,0.9842666575169415,0.07483940234130104,0.09125323879768167,0.01088353435299117,-0.3500043360166998,0.07853815701779956,0.007964795559136215,0.10141306928466766,R0,0.9591668634312066,1.1721872254695405,1.2525982792936077,1.4829833475590615,0.8054646932175679,0.9704465547761545,0.07378206641778513,0.09016824811304158,0.05484808218958957,-0.3180923877090467,0.07853815701779956,0.007337865621354578,0.09343058075187013,R3
c_13044,0.5343287646317701,0.6782292433975402,1.0193744564332907,1.1820113879946976,0.38150614940663347,0.4058652155400329,0.13358219115794254,0.16955731084938505,0.013413209560841435,-0.0007218837525235777,0.169496143630198,0.006049025079498171,0.03568827555567144,R0,0.5375130730597965,0.6802334294208483,1.0194859199880955,1.181132905764231,0.3856586144385517,0.41104874442373374,0.13437826826494914,0.17005835735521208,-0.025567388283583146,-0.006644943491349142,0.169496143630198,0.009418929879176583,0.055570172143423774,R3
c_13083,0.7887811706569572,1.0521223855424442,2.378653650680905,2.4830467765056023,0.663735020542714,0.8420791303599416,0.08764235229521748,0.11690248728249382,0.2798653292242123,-0.03430654904677666,0.11494738990940959,0.006908448329439653,0.06010095866364798,R0,0.7855251235159623,1.047901381848996,2.370840511292117,2.474456567943321,0.6608373963875005,0.8383825669162926,0.08728056927955136,0.11643348687211066,0.2762463208599262,-0.02602413963107475,0.11494738990940959,0.008017549580296643,0.0697497314781597,R3
