container_id,model,bias,actual_std,pred_std,amplitude_ratio,pearson_r,phase_lag_steps,mae,rmse,r2
c_11461,ridge,-0.009386612860235195,0.049435146510285986,0.01404063040356457,0.28402121556660365,0.33219769466901944,-1.0,0.03388480486709563,0.04762272841004982,0.07198094065105465
c_11735,gru,-0.054389020739003736,0.11142939547651111,0.002881415421143174,0.025858665110954186,0.26571249378287853,64.0,0.05864023690503558,0.12333836131311023,-0.22517125629132195
c_11735,ridge,-0.055625123422126756,0.11142939547651111,0.00602223278642539,0.054045279171373174,0.3941621917320301,-1.0,0.05930925729475741,0.12254763881461017,-0.20951246089654973
c_11752,gru,0.006087402273597952,0.12179983860286846,0.008892178535461426,0.07300648865762956,-0.18458237616304563,52.0,0.1018104837080522,0.1238997891950387,-0.034779244978981216
c_11752,ridge,0.009316822361558714,0.12179983860286846,0.01904156520321661,0.15633489684089097,-0.0822720548389369,20.0,0.10263260933789504,0.12516471375272006,-0.056015749488947275
c_1181,gru,-0.018359905827227418,0.11774126887445972,0.005205398891121149,0.0442104874601899,0.27400049001893784,1.0,0.0709888364114522,0.1178614621195401,-0.0020426923265213226
c_1181,ridge,-0.018036069581364365,0.11774126887445972,0.01491917560797101,0.12671152392521276,0.19345633685554903,42.0,0.07211216824333115,0.11718035743474274,0.009505169648495126
c_1186,gru,0.009718589789023348,0.05997405791801819,0.006553479004651308,0.10927189575215362,0.5171573319535101,-17.0,0.04766403589432631,0.057686748619514776,0.07482209205822699
c_1186,ridge,0.007502411819002356,0.05997405791801819,0.02140386349690963,0.3568853641047224,0.5487325796709419,-16.0,0.04297603480735255,0.05198566043075814,0.24865351004419345
c_11996,gru,0.007858170086755255,0.08141372486981392,0.00741721224039793,0.09110518223135665,0.456870760119378,0.0,0.06304429759148998,0.07869679721281646,0.06563004438762632
c_11996,ridge,0.0037536526682569633,0.08141372486981392,0.016307206989460234,0.2003004654993561,0.4253688612326608,0.0,0.0603891508558328,0.0760180517295769,0.128157131774438
c_12060,gru,-0.03897724081847205,0.23439577949258059,0.010559477843344212,0.04504977805574547,-0.013440688038796476,-12.0,0.14108889383628723,0.23798874624958202,-0.030892231918949298
c_12060,ridge,-0.0431790857312792,0.23439577949258059,0.03389863889595196,0.14462137061228514,0.011283332176772378,-28.0,0.1384440588618394,0.2403656063379995,-0.05158667641424186
c_12158,gru,0.01602440676148492,0.057086624146550746,0.0038844558876007795,0.06804493952258839,-0.23360379713552998,-22.0,0.048674256212456225,0.060285626548710794,-0.11521559733916287
c_12158,ridge,0.016629504603707938,0.057086624146550746,0.011897332675798341,0.2084084118419042,0.546719368384231,-1.0,0.04579258153398733,0.05416945134693286,0.09959032939695212
c_12164,gru,-0.010545846358529004,0.07374665315787411,0.005303598940372467,0.07191646960599986,0.11856023375172532,48.0,0.05726852080238509,0.07406192474644117,-0.008568402171225786
c_12164,ridge,-0.010228358948183568,0.07374665315787411,0.011010901043067461,0.1493071288197409,0.24742852876631494,1.0,0.0558603458876217,0.07254375043847851,0.03235651310054033
c_12174,gru,-0.06908432964026719,0.1317859920664638,0.011029550805687904,0.08369289203457494,0.2355280766228879,2.0,0.1121724650568749,0.14689160696874742,-0.24238289506589572
