container_id,model,dom_freq_actual,dom_freq_pred,dom_freq_abs_error,spectral_corr,spectral_energy_ratio
c_1186,ridge,0.0625,0.0625,0.0,0.925720533772458,0.1430058743545206
c_11996,gru,0.05208333333333333,0.010416666666666666,0.041666666666666664,0.42619167871049407,0.005022902091836417
c_11996,ridge,0.05208333333333333,0.0625,0.010416666666666671,0.7708281460720079,0.05400652118311143
c_12060,gru,0.17708333333333331,0.010416666666666666,0.16666666666666666,-0.1520650041476649,0.0009805989446611083
c_12060,ridge,0.17708333333333331,0.0625,0.11458333333333331,-0.032397058905795535,0.016392016856103964
c_12158,gru,0.05208333333333333,0.0625,0.010416666666666671,0.8235431563210409,0.0015300376412217913
c_12158,ridge,0.05208333333333333,0.0625,0.010416666666666671,0.9443203334489243,0.03505115774710787
c_12164,gru,0.020833333333333332,0.0625,0.04166666666666667,0.28353710555298733,0.001686390863203191
c_12164,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.2827576233912672,0.01561125848902925
c_12174,gru,0.041666666666666664,0.010416666666666666,0.03125,0.07048940129495633,0.004245030947032557
c_12174,ridge,0.041666666666666664,0.05208333333333333,0.010416666666666664,0.17631974878228962,0.020145166805840293
c_12189,gru,0.0625,0.0625,0.0,0.5812181560642016,0.0022203062923560296
c_12189,ridge,0.0625,0.07291666666666666,0.010416666666666657,0.27076831511895866,0.018735385342596406
c_12193,gru,0.0625,0.010416666666666666,0.052083333333333336,0.41563976475107905,0.00803915081400769
c_12193,ridge,0.0625,0.07291666666666666,0.010416666666666657,0.3117849257381628,0.02112770935931703
c_12231,gru,0.010416666666666666,0.010416666666666666,0.0,0.8727495763378192,0.0032309749567156396
c_12231,ridge,0.010416666666666666,0.010416666666666666,0.0,0.9044037333047471,0.01146874942325575
c_12237,gru,0.010416666666666666,0.0625,0.052083333333333336,0.07804326057890995,0.0007770924993646323
c_12237,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.36304438357052404,0.008891904190546931
c_12441,gru,0.07291666666666666,0.0625,0.010416666666666657,0.2067447537893823,0.004233144728547446
c_12441,ridge,0.07291666666666666,0.0625,0.010416666666666657,0.2762315394346881,0.042135865100441414
c_12517,gru,0.0625,0.0625,0.0,0.6909471704276746,0.007795577365813747
c_12517,ridge,0.0625,0.0625,0.0,0.780125398634422,0.16656778807240746
c_12624,gru,0.07291666666666666,0.010416666666666666,0.06249999999999999,0.38469767540998107,0.0038267789571935695
c_12624,ridge,0.07291666666666666,0.0625,0.010416666666666657,0.7038892027998395,0.03574401481382585
c_12767,gru,0.020833333333333332,0.0625,0.04166666666666667,0.11261189229953904,0.0026593312676971327
c_12767,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.10393229721908691,0.03687261923683346
c_12858,gru,0.14583333333333331,0.0625,0.08333333333333331,0.05214204629974436,0.002345236034253968
c_12858,ridge,0.14583333333333331,0.0625,0.08333333333333331,0.16054061070971443,0.01512310507594064
c_1286,gru,0.11458333333333333,0.0625,0.05208333333333333,0.18023750089052565,0.008744378831425873
c_1286,ridge,0.11458333333333333,0.0625,0.05208333333333333,0.19150362305474464,0.12744032477968265
c_12971,gru,0.09375,0.0625,0.03125,0.10157269849769827,0.0005002633161305705
c_12971,ridge,0.09375,0.05208333333333333,0.04166666666666667,-0.0060515060986144915,0.008222343521575057
c_12974,gru,0.03125,0.010416666666666666,0.020833333333333336,0.3378711873351326,0.004182693019246668
c_12974,ridge,0.03125,0.0625,0.03125,0.16934884942745376,0.007814038734949052
c_12993,gru,0.125,0.010416666666666666,0.11458333333333333,-0.04967446797839313,0.0025791837332157816
c_12993,ridge,0.125,0.0625,0.0625,0.17899516439871124,0.09604488251419925
c_12999,gru,0.0625,0.0625,0.0,0.7871977702403857,0.003723262644496268
c_12999,ridge,0.0625,0.0625,0.0,0.9054501292536407,0.09203604037183437
c_13020,gru,0.010416666666666666,0.0625,0.052083333333333336,0.19299975817961618,0.008407845188160916
c_13020,ridge,0.010416666666666666,0.0625,0.052083333333333336,-0.012680484763644223,0.036902243259710914
c_13044,gru,0.10416666666666666,0.010416666666666666,0.09374999999999999,-0.1560538653121606,0.0008546052190134837
c_13044,ridge,0.10416666666666666,0.0625,0.04166666666666666,0.055143940804077404,0.01680129558284516
c_13083,gru,0.14583333333333331,0.010416666666666666,0.13541666666666666,0.04646009444292551,0.007059238323139286
c_13083,ridge,0.14583333333333331,0.010416666666666666,0.13541666666666666,0.08028793769718161,0.01543763232822759
c_13166,gru,0.010416666666666666,0.0625,0.052083333333333336,0.3696671670800402,0.003380630419651923
c_13166,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.13144023532743715,0.07780965298062237
c_13170,gru,0.0625,0.010416666666666666,0.052083333333333336,0.10400311787049095,0.0014983458743267866
c_13170,ridge,0.0625,0.0625,0.0,0.5900131630576256,0.026572236465455878
c_13229,gru,0.010416666666666666,0.0625,0.052083333333333336,0.10683822200818235,0.001031899186293923
c_13229,ridge,0.010416666666666666,0.05208333333333333,0.041666666666666664,-0.23311299785317505,0.003125252110083838
c_13269,gru,0.20833333333333331,0.0625,0.14583333333333331,0.08051119222187876,0.0013463594966204562
c_13269,ridge,0.20833333333333331,0.07291666666666666,0.13541666666666666,0.1800922334792761,0.010025068153412179
c_13308,gru,0.010416666666666666,0.010416666666666666,0.0,0.657700295509662,0.08535678316337948
c_13308,ridge,0.010416666666666666,0.0625,0.052083333333333336,-0.01639389392772064,5.790689112631399
c_13389,gru,0.010416666666666666,0.0625,0.052083333333333336,0.48999439726707444,0.004050180240001761
c_13389,ridge,0.010416666666666666,0.0625,0.052083333333333336,0.19340370357645345,0.0722423711886236
c_13403,gru,0.10416666666666666,0.010416666666666666,0.09374999999999999,-0.06130681895712672,0.0042416696496655895
c_13403,ridge,0.10416666666666666,0.0625,0.04166666666666666,0.028713486915521794,0.06836359660390404
c_13441,gru,0.0625,0.0625,0.0,0.7644962030870385,0.003886625462269744
c_13441,ridge,0.0625,0.0625,0.0,0.8053059564986672,0.07659311938759164
c_13607,gru,0.03125,0.0625,0.03125,0.21589971029462734,0.0002005348698788409
c_13607,ridge,0.03125,0.05208333333333333,0.02083333333333333,0.3320267081308054,0.0002998617961846208
c_13615,gru,0.03125,0.010416666666666666,0.020833333333333336,0.2167176973496242,0.006914919198331451
c_13615,ridge,0.03125,0.0625,0.03125,0.23745601313243994,0.33749713423125993
c_13658,gru,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.2956529809480395,5.302693679113447e-05
c_13658,ridge,0.020833333333333332,0.05208333333333333,0.031249999999999997,0.2726423979080602,0.0015497054632127025
c_13690,gru,0.0625,0.0625,0.0,0.6312700854876923,0.05049442075886577
c_13690,ridge,0.0625,0.0625,0.0,0.8085420567413792,0.21353896499092997
c_1379,gru,0.17708333333333331,0.010416666666666666,0.16666666666666666,0.3273380012678185,0.0058379978182154565
