container_id,gru_pearson_r,ridge_pearson_r,delta_r_ridge_minus_gru,gru_std_ratio,ridge_std_ratio,gru_bias,ridge_bias,gru_phase_lag,ridge_phase_lag,alpha,kappa_effective
c_13269,0.1209644449734133,0.00773862535608956,-0.11322581961732374,0.03875277160289543,0.12561316908289555,-0.0019954222075632393,-0.0052947858183492276,-15.0,-17.0,1.0,0.1
c_13308,-0.1813734096842889,0.11715382024969556,0.29852722993398445,0.33475295037901115,2.564989832257997,0.01474802208685453,0.012269014895225286,-25.0,-2.0,0.0,0.0
c_13389,0.1473067962799742,0.2904679193490879,0.1431611230691137,0.061257244862492684,0.2517827989235392,0.08889825982214987,0.08286660081389467,-31.0,-15.0,1.0,0.1
c_13403,0.08825874762086094,0.07149666720924491,-0.01676208041161603,0.08128281357137035,0.25185349601889845,0.025455357965986487,0.02252832580475769,41.0,31.0,1.0,0.1
c_13441,0.002395133762267035,0.3618809772688081,0.35948584350654106,0.08082469608274165,0.20216437208599963,-0.018952553175050853,-0.02068350953063479,12.0,32.0,1.0,0.1
c_13607,0.10545312441302525,0.13670913638392232,0.03125601197089707,0.022708363431926528,0.027544143742178583,-0.1337547997590301,-0.13799916722914252,-7.0,-28.0,1.0,0.1
c_13615,-0.14341510658137396,0.05976199902399411,0.20317710560536806,0.10861061122931157,0.45716504812810677,0.044525826647513166,0.038936428053904154,-36.0,38.0,1.0,0.1
c_13658,-0.03723322001579163,0.19809005472975288,0.23532327474554451,0.013476663786880724,0.03971386007683903,-0.13946150280071282,-0.1483542632022473,66.0,38.0,1.0,0.1
c_13690,0.41833355919069926,0.37600761468984006,-0.04232594450085919,0.1198898017837971,0.22713881564977842,-0.007446109850714963,-0.010347352614107881,0.0,0.0,1.0,0.1
c_1379,0.29810225785143923,0.258696972105124,-0.039405285746315244,0.09116065160570516,0.13228497056147037,1.513932817043609e-05,-0.0032557619296308244,1.0,-4.0,1.0,0.1
c_1387,0.13178620256655194,-0.05702986265775801,-0.18881606522430994,0.09533805186272054,0.18047487074578375,-0.007634981876722669,-0.00912695151080768,8.0,-19.0,1.0,0.1
c_13873,0.06567606877047372,0.1726817131006994,0.10700564433022569,0.006656567865512164,0.03577054812867252,-0.2408430978616213,-0.24395662694920262,6.0,2.0,1.0,0.1
c_14106,-0.24447483796160965,0.009304302904542996,0.25377914086615266,0.008491066531299996,0.004233102732485876,-0.025546967895511332,-0.02651711549300792,62.0,47.0,0.0,0.0
c_14135,0.32677216025112354,0.25668584554285834,-0.07008631470826521,0.056565042601473235,0.1325520045652291,-0.0386418754764131,-0.039871694589304264,-1.0,19.0,1.0,0.1
c_14296,0.43973224377774534,0.09813950918937386,-0.34159273458837147,0.018359590802403843,0.035533359420965804,-0.14265158724921015,-0.1439801811546244,5.0,17.0,1.0,0.1
c_14363,-0.06347042407763423,0.2015852388789668,0.265055662956601,0.07125493261448669,0.07309118270360479,-0.07540053482824216,-0.08306712632090123,50.0,-1.0,1.0,0.1
c_14388,0.07118584026729617,0.06015521762087123,-0.011030622646424938,0.08727129824630334,0.744186105817445,0.010997003535196856,0.0076679354519722616,-5.0,-12.0,1.0,0.1
c_14396,-0.13994620415899045,0.11325129224288799,0.25319749640187844,0.08477261759088527,0.19437205137844626,0.07000409590968555,0.06718921487408665,74.0,-16.0,1.0,0.1
c_14413,0.05189646719572063,0.07811788102788231,0.02622141383216168,0.02194828851723105,0.10806062786449906,-0.049911987057409825,-0.04591692333272801,-14.0,-26.0,1.0,0.1
