container_id,split,train_steps,validation_steps,day1_mae,day1_rmse,day1_mape,day1_pearson_r,day1_r2
c_25925,known,608,152,0.6553840200939532,0.9486223579598865,7.832719352036582,0.017438629837178997,-1.0686332126059366
c_25988,known,611,153,0.40600078625073444,0.5491763842807189,23.878332834766223,0.17882111379103494,0.005091046613279859
c_26015,known,613,154,0.2611060371432724,0.313507803737704,22.493718410159534,0.19074883632449846,-0.1331004014560926
c_26057,known,614,154,0.41905221119821007,0.5470446775745595,15.141259241966178,0.09290640052752136,-0.13877945513619072
c_26065,known,611,153,1.0745354154650373,1.3408389743465725,11.583263119212377,0.8790956031570589,0.6956084232347124
c_26123,known,613,154,0.1898670820750733,0.5494070214828254,763.1165994848689,-0.055040103057227646,-0.01790318719433115
c_26187,known,613,154,1.152068461958473,1.8142840056170928,16.119597584583136,0.10304447399134112,-0.4959636600440125
c_26196,known,611,153,0.3999775272964217,0.4738380546858889,26.27931523569224,0.12039343392496432,-0.2825247951955199
c_26289,known,608,152,0.6939409795409363,0.9840141845893936,23.17273595174412,0.6264206257872822,0.37759042691680555
c_26355,known,613,154,0.5800958050584621,1.0497534146955472,15.47875876963275,0.4713224873685534,0.21132458539469412
c_26395,known,614,154,0.7445151910123208,1.0581987814044833,8.618119576403698,0.8993224207667063,0.7987992497970187
c_26405,known,609,153,0.5696063684004048,0.7011430490928092,35.41562850704927,0.030049297444116524,-0.08090841966226892
c_26459,known,613,154,2.5469778069921998,3.419367528856854,17.64017393228914,0.7809189782982622,0.5171894735447404
c_26613,known,614,154,1.725060089012483,2.2224553605742887,11.709986676326327,0.9450030375785646,0.8365965721035169
c_26636,known,614,154,4.697767915071095,9.780339115313147,30.1009140137183,0.45893441412536584,0.1764455357530873
c_26703,known,614,154,0.7726964620797063,0.9773759121021262,9.101049993238064,0.3353254240633299,0.024234166519710332
c_26731,known,614,154,3.5988113247481723,4.08825643981356,73.17831950806287,0.9312414816352244,0.552368374159709
c_26769,known,613,154,1.1015876067292572,1.3504088173831805,17.010583901243916,0.048547191108454485,-0.1365918797556549
c_26809,known,612,153,1.0922932439359643,2.376378831826744,11.30972685861444,-0.12694750921338735,-0.19979003741931978
c_26875,known,612,154,2.6005471115913683,3.5179624364538307,9.170015861783616,0.907665884536987,0.8048956757934462
c_26884,known,612,154,0.0044475140821035345,0.0049477886128205546,44.47514082103534,,0.0
c_27038,known,614,154,3.12504501325812,3.6004417563527924,28.516105781875652,0.8033642256186542,-1.2603379959962902
c_27047,known,614,154,1.4846817310253462,1.8601949337983505,7.1458116784574806,0.9396866761931462,0.8757469334199911
c_27088,known,609,153,3.506762861082375,4.823644858268945,29.901638056615027,0.8728140266739638,0.723513782110676
c_27325,known,613,154,1.5506407082029863,1.8431952075317217,11.314129172492033,0.9834858609895683,0.925672255116118
c_27373,known,614,154,0.9725769217674282,1.272827020159782,18.212026770852006,0.5118883707865902,0.18197304904499223
c_27502,known,613,154,2.0451788193951153,2.484064537793389,10.9420656388361,0.9536667942962426,0.8530486899673336
c_27530,known,614,154,0.03237700919511189,0.13095470481831212,51.84040733926613,0.012170968596483214,-0.0360303213680524
c_27589,known,613,154,3.077557629171396,3.6516278278906156,19.832653942207013,0.9031847405822218,0.08331500829603744
c_27652,known,614,154,0.5852667767578392,0.6987061780075915,26.688861092937227,-0.17430524152536708,-1.3700454835764089
c_27835,known,614,154,1.2677802045535322,1.6875253000829227,11.399188286469016,0.8780189909297904,0.7312952670652291
c_27966,known,612,154,2.444137114333387,3.053292600186811,11.255775974028888,0.47900330088369086,-1.0201971523503781
c_27996,known,613,154,1.1191459788049174,1.5358341861770264,5.516465278384941,0.9680114518035174,0.9303387464363005
c_2803,known,614,154,1.1678315567279134,2.052374590585515,10.23802569162674,0.5070690196507895,0.13405193456342113
c_28042,known,614,154,6.985641758179511,10.271271295737785,37.96023172936927,0.6140640802283591,0.3036177011073724
c_28130,known,612,154,5.845704049688149,6.6038965700982235,42.10666304718256,0.9455289213038797,0.4526363838089764
c_28142,known,613,154,3.51382112079003,3.971580561275579,36.861426868775276,0.9455775615852154,0.7017778414815485
c_28206,known,613,154,2.2987648523361535,2.8886954216403087,13.965215719092608,0.9433326601218806,0.8846801498857084
c_28220,known,614,154,1.9027347183236347,2.2780463171337226,10.38706920804282,0.9630395481526202,0.9172527517048175
c_28254,known,612,154,0.3696605080589228,0.556207764578854,19.969334386036998,-0.04126742223584027,-0.17818207499733352
c_28412,known,613,154,0.6635577818996102,0.8140484614014438,9.817527528846979,0.871221956400392,0.7548278013874437
c_28421,known,608,153,4.324159269135381,5.999352971606739,57.66524563729292,0.7915673715425511,0.4687205833170557
c_28557,known,608,153,1.3582278844335542,2.573254982469542,13.125914615579315,0.042932702396073524,-0.3016975165920557
c_28602,known,613,154,0.4937692566837222,0.6459157399887563,19.321167005231942,0.2208329748188269,-0.01375086470464093
c_2870,known,613,154,5.864846659631709,7.6186770169549,27.98013483819949,0.8512110857073028,0.6298351264491031
c_28719,known,613,154,0.5507158383955715,0.7802516667849779,19.344289511055614,0.02310454813503325,-0.04035296757078788
c_28793,known,614,154,0.9791440463010203,1.4278579449479734,9.942531330368515,0.315669464687956,-0.32220521966933124
c_28826,known,613,154,0.7338180003370364,0.9103616868642651,5.243975106214719,0.9908545838784636,0.9792065234441153
c_28913,known,614,154,0.19901534493207781,0.3135588981254889,811.1969898359961,0.2830849633657637,0.04795651906601972
c_28943,known,613,154,0.6484792194483924,0.8850450771641857,22.7224901453446,-0.18556821969786141,-1.1563915245674607
c_29046,known,614,154,0.7713759210425436,0.9287712990947021,14.734719800109616,0.9375340570691353,0.8624699603824748
c_29087,known,613,154,0.3118442309503709,0.39829623754327287,846.7005295066463,0.15517078911540738,0.017134201280502914
c_29414,known,611,153,0.4462774843944339,0.5862056112204445,29.999869433225584,0.15744650728547038,0.015106224889504416
c_29477,known,613,154,1.5113654958312273,2.769778083828406,13.64272488778315,0.3412376046543164,-0.16756215269061703
c_29648,known,613,154,0.6925347947836743,0.8870064690388773,8.797587685166496,0.43012694477517444,0.1373231257311338
c_29805,known,613,154,1.9464673005294173,2.462111466513911,9.125031658193846,0.9200657729239666,0.8317722608061621
c_30052,known,612,154,0.0016691288848383258,0.0018301055615747024,16.69128884838326,,0.0
c_30063,known,612,153,0.7754115617094213,0.9787330812813719,7.162378451000352,0.8804209526693593,0.7557914971503398
c_30184,known,609,153,0.4176740333965469,0.48736667939730716,13.929195180786213,0.24115906515778343,-0.33648019629803394
c_30185,known,612,154,4.598206166424805,6.996304178512081,40.99228499371074,0.22343105658435763,0.02326648664821429
c_30258,known,614,154,0.2829219915531693,0.33857392360357474,822.7337868596836,0.17411636423723686,0.013891139195102764
c_30338,known,614,154,1.559425775159515,2.0514888931008337,5.133831326634911,0.9761712208659309,0.949538009094824
c_30489,known,612,154,0.7657080344937478,1.1324854598486065,6.834907805364033,0.8584855776949216,0.7214230311135992
c_30558,known,614,154,2.6762243974135864,4.044087051509366,26.347758543219584,-0.1313660513630535,-0.17785621973624544
c_30749,known,612,154,0.48664068916173125,0.5824192825084662,34.85011426870806,-0.20292199319329185,-0.08264158368960173
c_31131,known,603,151,0.23638861508082928,0.30342565512076464,19.501379943723045,-0.09827223990421813,-0.05476685174136975
