container_id,prophet_dominant_freq,remaining_dominant_freq,prophet_dominant_period_steps,remaining_dominant_period_steps,prophet_peak_power,remaining_peak_power
c_1494,0.05844155844155845,0.06493506493506494,17.11111111111111,15.399999999999999,0.05854240476975288,0.5499719381571262
c_14964,0.006493506493506494,0.012987012987012988,154.0,77.0,0.8957123827204102,1.2442628519991445
c_15030,0.012987012987012988,0.012987012987012988,77.0,77.0,0.34699421033671585,1.14527184746696
c_15035,0.05228758169934641,0.0196078431372549,19.125,51.0,0.21544029533625367,0.6612424556860484
c_15072,0.05844155844155845,0.07142857142857144,17.11111111111111,13.999999999999998,0.18946814633727777,0.7597227155097515
c_15179,0.05194805194805195,0.06493506493506494,19.25,15.399999999999999,0.20372094224262616,0.978708810754567
c_15235,0.01948051948051948,0.05844155844155845,51.333333333333336,17.11111111111111,0.03898481289124832,0.07929508476429975
c_15282,0.01948051948051948,0.06493506493506494,51.333333333333336,15.399999999999999,0.9428681708745839,4.372359322414568
c_15420,0.032679738562091505,0.058823529411764705,30.599999999999998,17.0,0.7514293618977127,5.007841330032662
c_15446,0.05194805194805195,0.4675324675324676,19.25,2.138888888888889,0.10301183054804297,0.06444270612516072
c_15486,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,2.523694226018658,3.589882583417585
c_15527,0.006666666666666667,0.02,150.0,50.0,0.2017805551360935,0.4399325441990336
c_15555,0.11111111111111112,0.09803921568627451,9.0,10.2,2.2821244359682815,9.391100287521635
c_15570,0.012987012987012988,0.006493506493506494,77.0,154.0,0.020090905546462565,0.036963555345945
c_15604,0.012987012987012988,0.01948051948051948,77.0,51.333333333333336,1.4624869189909635,2.0667105849518705
c_15616,0.012987012987012988,0.06493506493506494,77.0,15.399999999999999,0.13468287247488203,0.1690483670467668
c_15630,0.012987012987012988,0.01948051948051948,77.0,51.333333333333336,0.3286580632339969,0.47296660074160735
c_15640,0.05194805194805195,0.03246753246753247,19.25,30.799999999999997,0.5620780989260776,1.2582999027039672
c_15642,0.05844155844155845,0.06493506493506494,17.11111111111111,15.399999999999999,0.12271872592780575,0.4877429988869011
c_15647,0.07142857142857144,0.06493506493506494,13.999999999999998,15.399999999999999,0.09037063032000137,0.9098390959897716
c_15794,0.03246753246753247,0.06493506493506494,30.799999999999997,15.399999999999999,0.0013894998686089315,0.16466923957717616
c_15856,0.07189542483660132,0.06535947712418301,13.909090909090908,15.299999999999999,0.2153322215834545,0.6435062304223654
c_16008,0.012987012987012988,0.012987012987012988,77.0,77.0,3.0097656462289213,2.2910910394082604
c_16048,0.05194805194805195,0.05844155844155845,19.25,17.11111111111111,0.29670667805163153,0.4316987134667315
