sample_quantile,theoretical_quantile
-2.944442932323099,-3.8089933438499233
-2.938875810807052,-3.8049812123109006
-2.937090597320939,-3.8009778838609116
-2.932300884085775,-3.7969833112496176
-2.9316394052961905,-3.792997447612104
-2.9309479972719643,-3.789020246464649
-2.929813909844027,-3.785051661700558
-2.925071600053137,-3.7810916475860386
-2.923727163988058,-3.7771401587561497
-2.9231704797743525,-3.7731971502107946
-2.920612859678035,-3.769262577310769
-2.9124576695094113,-3.765336395773868
-2.912179754387699,-3.7614185616710434
-2.9090367520066605,-3.757509031422613
-2.9067070326494773,-3.7536077617945187
-2.8994601742097013,-3.7497147098946386
-2.8952064254572507,-3.745829833169146
-2.8807957495909986,-3.7419530893989204
-2.880072137194626,-3.7380844366959964
-2.8799943940697625,-3.734223833500077
-2.8791251366727897,-3.7303712385750725
-2.877223841634063,-3.7265266110057063
-2.87617926406414,-3.722689910194149
-2.8748169303903683,-3.7188610958566994
-2.869043136794423,-3.7150401280205214
-2.861703393426417,-3.711226967020406
-2.849640518212941,-3.7074215734955875
-2.8429686420777136,-3.7036239083865996
-2.8428601523546724,-3.6998339329321643
-2.84014013032059,-3.6960516086661306
-2.8383505676997114,-3.6922768974144535
-2.833781065138743,-3.6885097612921927
-2.8298287194329212,-3.6847501627005825
-2.8265081471044007,-3.6809980643241107
-2.8197282072126946,-3.677253429127642
-2.8194449118875524,-3.673516220353596
-2.816924148385987,-3.6697864015191306
-2.8133520558556966,-3.6660639364133782
-2.808517256014241,-3.662348789094728
-2.8070463711829623,-3.6586409238881186
-2.804324192937109,-3.6549403053823784
-2.79170717969822,-3.6512468984276
-2.7860194049188696,-3.6475606681325354
-2.7821231907265673,-3.643881579862045
-2.781975718630067,-3.640209599234558
-2.778621023652855,-3.636544692119571
-2.777377778787596,-3.632886824635184
-2.7773746710758647,-3.6292359631456583
-2.7773154566169196,-3.625592074259007
-2.770650672219599,-3.62195512482462
-2.7699885752795845,-3.6183250819309087
-2.7686161139919094,-3.614701912902984
-2.768407056085132,-3.6110855853003727
-2.7640142767370497,-3.6074760669147397
-2.763240318619068,-3.603873325767659
-2.7596074156815154,-3.600277330108402
-2.7502465085774013,-3.596688048411746
-2.7498235065469583,-3.593105449375827
-2.7452628930207306,-3.5895295019200018
-2.737879249035657,-3.5859601751827435
-2.7368933219023233,-3.582397438519559
-2.7328583051769773,-3.578841261500933
-2.7310605830694494,-3.5752916139103004
-2.7259015626689944,-3.5717484657420324
-2.719879043130797,-3.568211787199455
-2.713593949449983,-3.5646815486928887
-2.713397255229608,-3.5611577208377128
-2.710366778175389,-3.5576402744524467
-2.7095170267670317,-3.554129180556863
-2.7002150394717654,-3.5506244103701117
-2.691338355953182,-3.547125935308874
-2.69081207558191,-3.543633726985538
-2.6797558956875025,-3.540147757206391
-2.6792347152408493,-3.536667997969833
-2.672974796564374,-3.5331944214646165
-2.6722776163889765,-3.529727000068097
-2.672119864818392,-3.526265706344518
-2.664206620381137,-3.522810513043301
-2.6620945018658513,-3.5193613930973617
-2.661817337833961,-3.5159183196214427
-2.6595522376239353,-3.5124812659104743
-2.6563965697645546,-3.5090502054379407
-2.654657516129023,-3.505625111854272
-2.654602409378871,-3.502205958985256
-2.654342974692259,-3.498792720830463
