container_id,threshold,day1_steps,peak_steps,peak_fraction,prophet_peak_mae,hybrid_peak_mae,mean_residual_correction_at_peaks,peak_error_reduction,contribution_ratio
c_11735,9.5,96,44,0.4583333333333333,3.7808018246457875,3.8135297373296067,0.04566213650449564,-0.03272791268381914,-0.008656341750174996
c_11752,2.0,96,23,0.23958333333333334,0.8796253398666304,0.8865021799000773,0.02312511387888504,-0.006876840033446907,-0.007817919427479864
c_1181,36.366666666666674,96,12,0.125,20.430119408419007,20.415039675876113,0.09645906281851542,0.015079732542893964,0.000738112795203722
c_1186,22.0,96,27,0.28125,1.0730188576551745,1.0553643706796854,0.04444147921520341,0.017654486975489103,0.016453100380797364
c_11996,14.666666666666666,96,6,0.0625,2.747921478347759,2.7418872416117455,0.04406624507100787,0.006034236736013554,0.0021959276433334463
c_12060,0.5,96,10,0.10416666666666667,0.6140674239690197,0.614527426979832,0.004176666654529981,-0.0004600030108122821,-0.0007491083110044439
c_12158,43.666666666666664,96,14,0.14583333333333334,2.411616509361621,2.4259045492626448,0.11923122502464269,-0.014288039901023897,-0.005924673282654747
c_12164,8.0,96,22,0.22916666666666666,1.4536859709554972,1.4511566009139438,0.060516252040873623,0.0025293700415534026,0.0017399700431110759
c_12174,7.0,96,23,0.23958333333333334,1.0316501506767246,1.0405300779876554,0.042652549606788416,-0.00887992731093079,-0.008607498680735794
c_12189,3.4999999999999996,96,21,0.21875,0.555660636347225,0.5643280636991823,0.014020086806426857,-0.008667427351957357,-0.015598418863957816
c_12193,3.0,96,13,0.13541666666666666,0.9083960389502965,0.9129152041856412,0.007447880306221506,-0.00451916523534468,-0.0049748843473237
c_12231,7.0,96,60,0.625,5.297216791710426,5.835412098924861,1.2398683712559024,-0.5381953072144352,-0.10159963776763921
c_12237,67.0,96,50,0.5208333333333334,5.476011740359278,5.533241702475253,0.480773599184613,-0.05722996211597575,-0.01045102984242706
c_12441,16.666666666666668,96,18,0.1875,4.034130572901022,4.05010830099551,0.06097183606187981,-0.015977728094488164,-0.003960637318439167
c_12517,22.733333333333338,96,29,0.3020833333333333,1.7941257022461554,1.7975338481994705,0.039110179357270805,-0.003408145953315067,-0.0018996138057931166
c_12624,2.5,96,20,0.20833333333333334,0.62547838509913,0.6282421715347618,0.026800897326514538,-0.0027637864356317987,-0.004418676170870038
c_12767,5.666666666666667,96,9,0.09375,1.3065799354879117,1.3226143616813892,0.04204763888588382,-0.016034426193477502,-0.012272059104818428
c_12858,3.0,96,9,0.09375,0.9684368981998226,0.9800768236267329,0.014358683771812744,-0.01163992542691028,-0.012019291549658152
c_1286,3.0,96,11,0.11458333333333333,1.19110233968032,1.1927178692387825,0.007189484642532823,-0.0016155295584625584,-0.0013563314457900825
c_12971,5.0,96,22,0.22916666666666666,2.1035792029520963,2.106307124793652,0.01347595526129391,-0.0027279218415556805,-0.0012968001574304412
c_12974,3.7453703703703694,96,9,0.09375,1.4834767210082385,1.4871702902011084,0.029958593400402203,-0.0036935691928698944,-0.0024898059676727357
c_12993,15.066666666666672,96,5,0.052083333333333336,9.043673898202478,9.107365961342229,0.11990557168610394,-0.06369206313975084,-0.007042720011433659
c_12999,32.65833333333333,96,12,0.125,2.891671365673073,2.9074583566232675,0.028049182884084683,-0.015786990950194646,-0.005459469266667523
c_13020,20.0,96,33,0.34375,1.2943892119220513,1.2677445771845621,0.10152422620343383,0.026644634737489126,0.020584716321858283
c_13044,2.0,96,23,0.23958333333333334,1.0178610414278075,1.020538082300903,0.020293766136645623,-0.002677040873095393,-0.0026300651701338
c_13083,9.462500000000006,96,7,0.07291666666666667,2.3579280964269143,2.3793876985166795,0.055458268678713986,-0.021459602089765273,-0.009101041767254937
