container_id,series,ar_order,n_forecasts,forecast_pearson_r,forecast_mae,residual_avg_abs_acf_1_10,residual_lb_reject_lag_20
c_11087,remaining_corr_z,2,104,0.010011753783585146,0.6790227577015471,0.03860857271500552,0.0
c_11087,prophet_z,5,101,-0.10304923824441224,0.6666376811890029,0.043960301487943595,0.0
c_11087,remaining_corr_z,5,101,-0.06696015448528939,0.7150283435503975,0.04006753637327672,0.0
c_11203,prophet_z,1,105,0.5605135640527256,0.3946246836906979,0.08752051636058304,0.0
c_11203,remaining_corr_z,1,105,0.47571017306719005,0.378846118645085,0.08669292752175248,0.0
c_11203,prophet_z,2,104,0.5780168829048122,0.3907568827777749,0.056237831908450796,0.0
c_11203,remaining_corr_z,2,104,0.4974769570792473,0.3799491536848785,0.05932996460352178,0.0
c_11203,prophet_z,5,101,0.546000359782453,0.4032126401417445,0.0658862176599533,0.0
c_11203,remaining_corr_z,5,101,0.46934378751437383,0.3925098234286653,0.06886467381790586,0.0
c_11307,prophet_z,1,105,0.33707913265112766,1.0822306437654459,0.09079217555233149,0.0
c_11307,remaining_corr_z,1,105,0.31401328828207725,1.129228578192468,0.0913459448780107,0.0
c_11307,prophet_z,2,104,0.3139057404382567,1.0895220449920267,0.09088929191890467,0.0
c_11307,remaining_corr_z,2,104,0.29430550430492275,1.1399676463574577,0.0934955550252826,0.0
c_11307,prophet_z,5,101,0.03723702656978686,1.1498106957698888,0.12382329040239133,1.0
c_11307,remaining_corr_z,5,101,0.03223952774026331,1.1995846790116367,0.12258695835644065,1.0
c_11327,prophet_z,1,104,0.34640070303956155,0.578802187873434,0.10292780090017309,1.0
c_11327,remaining_corr_z,1,104,0.342057183718778,0.5693274207374438,0.1010368518243598,1.0
c_11327,prophet_z,2,103,0.3434179828999709,0.5848316791167183,0.11056614079399119,1.0
c_11327,remaining_corr_z,2,103,0.3409742756144864,0.5759760054595225,0.1046748249740238,1.0
c_11327,prophet_z,5,100,0.31206823249247,0.6031000199799247,0.13653377395821994,1.0
c_11327,remaining_corr_z,5,100,0.319563925364443,0.5851491150639783,0.1345412858168284,1.0
c_11461,prophet_z,1,104,0.4175852876814091,0.3139364136914941,0.10104998895548964,0.0
c_11461,remaining_corr_z,1,104,0.3535016748367295,0.29383417951392315,0.08856538206846973,0.0
c_11461,prophet_z,2,103,0.40718075388479535,0.3172338556225822,0.1039211976448799,1.0
c_11461,remaining_corr_z,2,103,0.35017034008731784,0.2961564883389309,0.08136379164396881,0.0
c_11461,prophet_z,5,100,0.37476690192339207,0.3318296138585113,0.10313001568102217,0.0
c_11461,remaining_corr_z,5,100,0.31160151299972605,0.31040800684302056,0.08484301513920793,0.0
c_11735,prophet_z,1,105,0.6863589485276336,0.33667725614960564,0.09349170756067561,0.0
c_11735,remaining_corr_z,1,105,0.6612825417872863,0.3278150652399994,0.09567637844282648,0.0
c_11735,prophet_z,2,104,0.5993797698515584,0.3450792346263371,0.11812441686587863,0.0
c_11735,remaining_corr_z,2,104,0.571084024450105,0.33861712632571483,0.11987367290074742,0.0
c_11735,prophet_z,5,101,0.38576398308168525,0.47578397376655257,0.08938064880864294,0.0
c_11735,remaining_corr_z,5,101,0.3447961793619909,0.47074356562275804,0.08597813466497718,0.0
c_11752,prophet_z,1,104,0.34871513289788664,0.6311717065523177,0.05878335819111299,0.0
c_11752,remaining_corr_z,1,104,0.3558599428521827,0.6230611842102733,0.05958578253293993,0.0
c_11752,prophet_z,2,103,0.33867844226354504,0.6376262192877861,0.06213560206173233,0.0
c_11752,remaining_corr_z,2,103,0.3464131541956803,0.6305767509016658,0.06269359787433967,0.0
c_11752,prophet_z,5,100,0.2775962823420113,0.6461705675750308,0.09769660670620281,0.0
c_11752,remaining_corr_z,5,100,0.29058566275192205,0.64474205232545,0.09923704051791896,0.0
c_1181,prophet_z,1,104,0.28325202283768247,0.8202443861721562,0.09174071602277531,0.0
c_1181,remaining_corr_z,1,104,0.30988975120891316,0.8200653886913821,0.0893994055226687,1.0
c_1181,prophet_z,2,103,0.2746611237710313,0.8109598664880593,0.08524068750934957,0.0
c_1181,remaining_corr_z,2,103,0.2989390752239473,0.8079747248744338,0.08387616748934604,1.0
c_1181,prophet_z,5,100,0.31745300987347974,0.8517536808268151,0.0828682135674848,0.0
c_1181,remaining_corr_z,5,100,0.3148195948246454,0.8720103379103231,0.0835795380308256,0.0
c_1186,prophet_z,1,105,0.7841531902733045,0.2486683443499461,0.14239466687731328,1.0
c_1186,remaining_corr_z,1,105,0.7091724657737997,0.24814835472075217,0.12214110788920944,0.0
c_1186,prophet_z,2,104,0.781294627514578,0.24949128557347927,0.14891401787093095,1.0
c_1186,remaining_corr_z,2,104,0.709100297860412,0.24653632582885293,0.12483514991920201,0.0
c_1186,prophet_z,5,101,0.7731285168795857,0.2429117624424376,0.0923781126352367,0.0
c_1186,remaining_corr_z,5,101,0.6795045190596438,0.24931912528894606,0.10582154083160258,0.0
