container_id,threshold_treatment,day1_steps_treatment,peak_steps_treatment,non_peak_steps_treatment,peak_fraction_treatment,peak_mae_treatment,peak_rmse_treatment,non_peak_mae_treatment,non_peak_rmse_treatment,overall_mae_treatment,overall_rmse_treatment,threshold_baseline,day1_steps_baseline,peak_steps_baseline,non_peak_steps_baseline,peak_fraction_baseline,peak_mae_baseline,peak_rmse_baseline,non_peak_mae_baseline,non_peak_rmse_baseline,overall_mae_baseline,overall_rmse_baseline,delta_peak_mae,delta_peak_rmse,delta_non_peak_mae,delta_non_peak_rmse
c_13020,20.0,96,33,63,0.34375,1.3268422029991067,1.5435475043760964,0.8248357556349195,0.9872664194452927,0.9974004719163588,1.2077422443754986,20.0,96,33,63,0.34375,1.2677445771845621,1.489408670301251,0.8204672113367171,0.9899819116813265,0.9742188058469138,1.1856310022704475,0.059097625814544585,0.05413883407484543,0.004368544298202437,-0.002715492236033845
c_13044,2.0,96,23,73,0.23958333333333334,1.014530703425544,1.1825910167409406,0.37891895971393563,0.4033679122886968,0.5312009399781751,0.6773378411459985,2.0,96,23,73,0.23958333333333334,1.020538082300903,1.1839718076087888,0.3805976281303869,0.4055998066558597,0.5339166952754063,0.6789273891780856,-0.00600737887535896,-0.0013807908678482583,-0.0016786684164512566,-0.0022318943671629232
c_13083,9.462500000000006,96,7,89,0.07291666666666667,2.37871549603835,2.483896351843285,0.6800308644354577,0.8746705398288656,0.8038932854898352,1.0766339754727892,9.462500000000006,96,7,89,0.07291666666666667,2.3793876985166795,2.484349361610496,0.6621421836989693,0.8445305186919602,0.7873580024877608,1.0541661998694418,-0.0006722024783294422,-0.0004530097672112987,0.017888680736488416,0.030140021136905393
c_13166,20.725,96,6,90,0.0625,0.8096808523795899,1.2172647623484114,1.300427768904817,1.620415111473995,1.2697560866219904,1.5982003649428302,20.725,96,6,90,0.0625,0.7841447475592407,1.1928621665382966,1.3148651077544142,1.6309034591601455,1.2816950852422158,1.6070277600446568,0.02553610482034918,0.024402595810114835,-0.014437338849597303,-0.010488347686150368
c_13170,31.0,96,5,91,0.052083333333333336,7.058907312175549,7.171043439120447,1.9419592670538086,2.3241455254147074,2.2084669777372326,2.792604986368641,31.0,96,5,91,0.052083333333333336,7.027850515672296,7.13731558636469,1.9081914222204415,2.2910922537771974,2.1748403333377255,2.7620471102946387,0.031056796503253103,0.033727852755756516,0.033767844833367144,0.03305327163751004
c_13229,12.12971014492754,96,20,76,0.20833333333333334,3.751752541174522,5.376382687208263,0.7466265068451012,0.9768342025700195,1.3726944306637308,2.6033420037478208,12.12971014492754,96,20,76,0.20833333333333334,3.740334947286049,5.369501276457686,0.7440516572568899,0.9717528023497606,1.3682773426796315,2.5988738463196355,0.011417593888472855,0.006881410750577466,0.002574849588211303,0.005081400220258936
c_13269,3.4999999999999996,96,8,88,0.08333333333333333,1.220261627464826,1.2641347749003806,0.34765046597250193,0.4148297816935254,0.4203680627635289,0.5393636647855904,3.4999999999999996,96,8,88,0.08333333333333333,1.2112124459148996,1.2579235209079267,0.35118191267872506,0.41968373538523046,0.4228511237817396,0.5415910511069288,0.009049181549926288,0.0062112539924539245,-0.003531446706223129,-0.0048539536917050485
c_13308,0.0,96,96,0,1.0,0.0028136634366987493,0.0031140594478583474,,,0.0028136634366987493,0.0031140594478583474,0.0,96,96,0,1.0,0.003489379959941173,0.0036901197358387063,,,0.003489379959941173,0.0036901197358387063,-0.0006757165232424236,-0.0005760602879803589,,
c_13389,47.31666666666668,96,22,74,0.22916666666666666,3.3108354690850232,4.287059115364638,8.15846672473857,8.81885033948488,7.047551228651298,8.010066743016186,47.31666666666668,96,22,74,0.22916666666666666,3.415371388781179,4.3775190157337045,8.459686538884256,9.091775031172348,7.303697650318969,8.25280660481358,-0.10453591969615594,-0.09045990036906648,-0.30121981414568566,-0.2729246916874679
c_13403,3.0,96,8,88,0.08333333333333333,0.9951635992643096,1.1208450495180105,0.29788893381193127,0.34671764883199213,0.35599515593296277,0.46355852140052234,3.0,96,8,88,0.08333333333333333,0.9822242467335164,1.1124011257934916,0.3057608075646567,0.3551767923750357,0.3621327608287283,0.46771540108334386,0.012939352530793258,0.008443923724518854,-0.007871873752725411,-0.008459143543043557
c_13441,20.0,96,10,86,0.10416666666666667,1.8955949769262848,2.3500928103793264,0.7459218569381286,0.963661364562475,0.8656794736035618,1.186261106249824,20.0,96,10,86,0.10416666666666667,1.824334492015831,2.2869762164617238,0.73858640745449,0.9571268407486794,0.8516851662629631,1.168539401814063,0.07126048491045367,0.0631165939176026,0.007335449483638623,0.006534523813795601
c_13607,4.0,96,70,26,0.7291666666666666,2.639453715472796,4.962070558882078,0.2356316490271466,0.31553119706473426,1.988418572477099,4.2403550540916894,4.0,96,70,26,0.7291666666666666,2.591106725120067,4.930684751641316,0.21941611366766212,0.2910472355378972,1.9487738511850405,4.213097224270485,0.04834699035272916,0.03138580724076245,0.016215535359484473,0.024483961526837072
c_13615,10.786956521739135,96,11,85,0.11458333333333333,5.87434141353782,7.3432140225622,4.698857341507283,5.093239446245121,4.833548224760782,5.398826260188814,10.786956521739135,96,11,85,0.11458333333333333,5.920134899397314,7.3663588827787185,5.0138689812072395,5.4235201921267935,5.11771195099985,5.679948497248,-0.04579348585949372,-0.023144860216518737,-0.31501163969995627,-0.3302807458816721
c_13658,5.499999999999999,96,23,73,0.23958333333333334,3.5258203331727174,5.585468649709644,0.46803257684322497,0.5610449219889231,1.2006275601304994,2.7773636581001275,5.499999999999999,96,23,73,0.23958333333333334,3.54670569038608,5.605709199421365,0.4581207715852637,0.5562793451554311,1.198094241714626,2.786390005592991,-0.02088535721336271,-0.020240549711720845,0.00991180525796126,0.004765576833491991
c_13690,5.308333333333337,96,11,85,0.11458333333333333,2.349471604588535,4.57255069318535,0.7126633894248261,1.0140318067575278,0.9002143307456677,1.8182883468907152,5.308333333333337,96,11,85,0.11458333333333333,2.40773248962407,4.5986957533854484,0.6684818956906518,0.9646706533740711,0.8677710262455225,1.8019900280088412,-0.05826088503553484,-0.02614506020009877,0.04418149373417435,0.0493611533834567
c_1379,3.0,96,32,64,0.3333333333333333,0.5855919338246136,0.7150095073850469,0.34487690064419596,0.42371132916408466,0.42511524503766857,0.5386096844577398,3.0,96,32,64,0.3333333333333333,0.5676004764693485,0.7042178095881184,0.3393668271641711,0.4191984957405411,0.41544471026589697,0.5314688705224896,0.017991457355265084,0.010791697796928457,0.005510073480024857,0.004512833423543583
c_1387,3.4999999999999996,96,15,81,0.15625,0.8950484530549941,0.9851245977519077,0.30099940593562063,0.4083928579658653,0.39381956954802283,0.5407038231350797,3.4999999999999996,96,15,81,0.15625,0.8116221925666536,0.9070343671971368,0.28357290961355425,0.38054799400246975,0.366080610074976,0.5007372583671237,0.08342626048834056,0.07809023055477093,0.017426496322066387,0.027844863963395527
c_13873,4.0,96,71,25,0.7395833333333334,2.2954562995958097,4.178631176332508,0.23439876014662908,0.28483666362574717,1.7587225653642522,3.596520819050212,4.0,96,71,25,0.7395833333333334,2.275739854074904,4.1679253792915585,0.2357869700882686,0.2871590448344113,1.7445021238700509,3.5873696950886558,0.01971644552090579,0.010705797040949427,-0.0013882099416395177,-0.002322381208664126
c_14106,0.0,96,96,0,1.0,0.010029914315629562,0.057222249286193703,,,0.010029914315629562,0.057222249286193703,0.0,96,96,0,1.0,0.009516096092824385,0.057184425270605466,,,0.009516096092824385,0.057184425270605466,0.0005138182228051763,3.7824015588237836e-05,,
c_14135,29.0,96,29,67,0.3020833333333333,3.717450615096523,4.917333353490687,1.3391768536601223,1.8514070271396132,2.057613719094035,3.113949272093901,29.0,96,29,67,0.3020833333333333,3.653461567372607,4.868084710515613,1.3406600258578507,1.83437226708746,2.0393188248570997,3.0833878855579204,0.06398904772391578,0.04924864297507359,-0.0014831721977284218,0.01703476005215321
c_14296,6.5,96,66,30,0.6875,5.289341159456119,5.817100056264321,0.573231933604919,0.6977693380103153,3.8155570263776184,4.8390313723140315,6.5,96,66,30,0.6875,5.215742971155298,5.735040772817701,0.5788421536907101,0.70003804963168,3.7667114656976133,4.7713198231684055,0.07359818830082077,0.08205928344662006,-0.005610220085791151,-0.0022687116213647718
c_14363,3.6666666666666665,96,14,82,0.14583333333333334,1.653071050194259,2.5225098668833312,0.30618337383566663,0.40338276184045013,0.502604493304628,1.0329248112582372,3.6666666666666665,96,14,82,0.14583333333333334,1.6437941672701528,2.519244329305542,0.29959180642029587,0.3969448787509545,0.4956213173775666,1.0296269413663652,0.009276882924106111,0.003265537577789246,0.006591567415370758,0.006437883089495611
c_14388,11.000000000000002,96,23,73,0.23958333333333334,0.6330296438273255,0.7857787699227344,0.687972859935707,0.8111312823366584,0.6748093810764072,0.8051299662523614,11.000000000000002,96,23,73,0.23958333333333334,0.5781675604424027,0.7006966180774719,0.7195330982433474,0.8447390247839016,0.6856642714785378,0.8125581756284331,0.05486208338492282,0.08508215184526258,-0.03156023830764043,-0.03360774244724318
c_14396,25.145454545454555,96,20,76,0.20833333333333334,1.7171057711177629,2.471194566958164,2.382284794064432,2.7224969825592202,2.2437058309505424,2.67209202935059,25.145454545454555,96,20,76,0.20833333333333334,1.690225436113592,2.4057552548119516,2.4717183818935027,2.8185414324275357,2.308907351522688,2.7376817447293127,0.026880335004170863,0.06543931214621246,-0.08943358782907085,-0.0960444498683155
c_14413,3.0,96,38,58,0.3958333333333333,0.9166896018098865,1.0630205385949292,0.29967911852252566,0.3382188013309219,0.5439124348237727,0.7186156746025718,3.0,96,38,58,0.3958333333333333,0.9040895401615389,1.0507337864722275,0.30918449960876576,0.34658681514570344,0.5446677448275717,0.713855997721813,0.012600061648347594,0.012286752122701694,-0.009505381086240106,-0.008368013814781528
