container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_12060,0.155344900952021,0.24035819971800165,0.5932492919000578,0.638278872452211,0.1044257857255051,0.130834484923745,0.155344900952021,0.24035819971800165,0.11440744517100701,-0.051521870279743975,0.23439577949258059,0.07150197774171829,0.30504805972405136
c_12158,2.979072521710419,3.7821695101286097,5.068883831639867,5.448039452890868,2.6805280488633545,3.4796821641908715,0.0681868958380028,0.08656868758627631,-0.17712801024274996,-1.2996034102605387,0.057086624146550746,0.05430334061384201,0.9512445590483054
c_12164,0.8662805713695253,1.1281286933696644,1.4162955166724538,1.7877728505558987,0.7644259518689833,0.9573288520438766,0.06564476734839492,0.08548702125250679,0.09430777266789331,-0.3437415249336193,0.07374665315787411,0.049143239855766296,0.6663792558905998
c_12174,0.5998270572696544,0.7913675683624671,1.3556178491149944,1.4710866612302318,0.4814501862577338,0.6208036452034511,0.11608981950121587,0.15316034356385252,0.1963517175312824,-0.35068526882020157,0.1317859920664638,0.06857427209615707,0.5203456833376716
c_12189,0.5336717869531994,0.695204475953005,0.7687022971510354,0.9700823716785243,0.4756772454758113,0.6085703166746015,0.03904673385491397,0.050865466024087314,0.11044742225675175,-0.8207386302446193,0.037696343350997544,0.03856101632118225,1.0229378473697988
c_12193,0.37445846549092554,0.4920307802429625,1.0356456735595434,1.0999314822255188,0.30605978879417195,0.3768045977570845,0.11270248488111956,0.1480887646609281,-0.07648235116903057,-0.3651346373069766,0.12674603065131262,0.06370984017848969,0.5026574785111811
c_12231,7.779896946933623,8.443926806009378,6.0283331304493,6.722073421137355,10.453336456304434,10.543127804543987,0.3238549442640049,0.35149661541562255,-0.44854680752640386,-0.2555720456082067,0.313689750349535,0.0626172199845314,0.19961512900806905
c_12237,18.723722843138205,23.667597970669714,6.605546166054435,8.52990338433688,31.895654013881426,33.01413926605632,0.312112018287462,0.3945231315656385,-0.12214242143913007,-1.7024549269750393,0.2399900532408431,0.06330252438783646,0.2637714502455188
c_12441,2.7568901708790983,4.197739275577687,5.10192646323661,8.334637526648113,2.356518120964401,2.961317448780981,0.04341813964034343,0.06611000756068164,0.054528603405677396,-1.015661901926102,0.046564866607934324,0.041283611208200455,0.8865828298360467
c_12517,1.362359726970275,1.6811131689138057,1.7467259806003106,1.9849736059197318,1.1515782330441264,1.4883715683105825,0.06897591420518291,0.08511431702849499,0.27790154107552567,-0.7814706708952328,0.0637695394174914,0.0537906289100647,0.843516032911952
c_12624,0.35429496853922826,0.4634500912866408,0.683433763322002,0.7702922136982008,0.2884672095826734,0.3729251475021494,0.07487304302818544,0.09794076040478424,0.11245997498936008,-0.3471663382352068,0.08438259174358037,0.060105592012405396,0.7122984820737992
