container_id,band,band_range,sigma_actual,sigma_predicted,std_ratio,flagged_low_sigma,arm
c_12060,h13_24,13-24,0.1806288328617447,0.00819248054176569,0.04535533121689551,False,mse
c_12060,h25_48,25-48,0.16604432626524307,0.005550629459321499,0.03342860056810851,False,mse
c_12060,h49_72,49-72,0.3326965611822364,0.00668439781293273,0.020091574704528773,False,mse
c_12060,h73_96,73-96,0.09674215745089065,0.012925885617733002,0.13361171549533185,False,mse
c_12158,h01_12,1-12,0.05227958402838748,0.007512214127928019,0.1436930738364126,False,mse
c_12158,h13_24,13-24,0.043527599503747544,0.003528625937178731,0.08106640332589284,False,mse
c_12158,h25_48,25-48,0.06730942693030897,0.0021327855065464973,0.0316862823502382,False,mse
c_12158,h49_72,49-72,0.06574710310240842,0.004573285114020109,0.06955873184095594,False,mse
c_12158,h73_96,73-96,0.035708371629386844,0.007702095899730921,0.21569440297278478,False,mse
c_12164,h01_12,1-12,0.06312637555938747,0.014625785872340202,0.23169056900123605,False,mse
c_12164,h13_24,13-24,0.060390240439809846,0.0067603327333927155,0.1119441268019234,False,mse
c_12164,h25_48,25-48,0.04665178823891044,0.0035951826721429825,0.0770641985625833,False,mse
c_12164,h49_72,49-72,0.09409011016636824,0.0062908511608839035,0.0668598554062754,False,mse
c_12164,h73_96,73-96,0.07322900221606173,0.013101997785270214,0.17891815249117896,False,mse
c_12174,h01_12,1-12,0.11441651019345146,0.009678663685917854,0.08459149531438694,False,mse
c_12174,h13_24,13-24,0.12578045437107035,0.010126512497663498,0.08050942849823738,False,mse
c_12174,h25_48,25-48,0.116127277064546,0.004715200513601303,0.04060372922530936,False,mse
c_12174,h49_72,49-72,0.13093239661554174,0.0052730487659573555,0.0402730638272869,False,mse
c_12174,h73_96,73-96,0.13691390753041752,0.010810877196490765,0.0789611325210988,False,mse
c_12189,h01_12,1-12,0.030520135420430416,0.0019063028739765286,0.062460498543542985,False,mse
c_12189,h13_24,13-24,0.026323770908215798,0.0016451083356514573,0.062495162314986176,False,mse
c_12189,h25_48,25-48,0.04573771246917691,0.0012330703902989626,0.026959599064556205,False,mse
c_12189,h49_72,49-72,0.0361779140212347,0.002325816312804818,0.06428829233879199,False,mse
c_12189,h73_96,73-96,0.030430645943546414,0.0022559177596122026,0.07413308819659238,False,mse
c_12193,h01_12,1-12,0.10416717121785303,0.006095611955970526,0.058517591336163785,False,mse
c_12193,h13_24,13-24,0.13616285868996217,0.006554110907018185,0.04813435154105904,False,mse
c_12193,h25_48,25-48,0.11969440904582641,0.005661557894200087,0.047300103148781934,False,mse
c_12193,h49_72,49-72,0.09631418126365811,0.006224851123988628,0.06463068098921201,False,mse
c_12193,h73_96,73-96,0.1506756355106616,0.013485541567206383,0.08950047910202552,False,mse
c_12231,h01_12,1-12,0.12550662153613812,0.008332697674632072,0.06639249445681854,False,mse
c_12231,h13_24,13-24,0.1583129461761609,0.014901846647262573,0.09412904634268328,False,mse
c_12231,h25_48,25-48,0.09199073810895649,0.012364421039819717,0.13440941222990233,False,mse
c_12231,h49_72,49-72,0.12297879380351531,0.006090028677135706,0.049520966085143246,False,mse
c_12231,h73_96,73-96,0.03206323504736178,0.010869929566979408,0.33901537230797324,False,mse
c_12237,h01_12,1-12,0.037097361828239424,0.024915676563978195,0.6716293379388442,False,mse
c_12237,h13_24,13-24,0.031881776010159346,0.00885793287307024,0.27783687051334904,False,mse
c_12237,h25_48,25-48,0.149646156153801,0.005557145923376083,0.03713523999684059,False,mse
c_12237,h49_72,49-72,0.12633225072858292,0.011799591593444347,0.09340126155747074,False,mse
c_12237,h73_96,73-96,0.16895305493348103,0.021439729258418083,0.12689755309165127,False,mse
c_12441,h01_12,1-12,0.09181937795973104,0.004342818632721901,0.047297408556029624,False,mse
c_12441,h13_24,13-24,0.006782614887088302,0.0021764824632555246,0.32089135230112753,False,mse
c_12441,h25_48,25-48,0.019508558254712215,0.0017583495937287807,0.09013221637247634,False,mse
c_12441,h49_72,49-72,0.03456813403319583,0.0028742814902216196,0.08314829743084898,False,mse
c_12441,h73_96,73-96,0.04647823513913884,0.0035584275610744953,0.07656115922693417,False,mse
c_12517,h01_12,1-12,0.03178640015889453,0.008796335197985172,0.2767326640957726,False,mse
c_12517,h13_24,13-24,0.03912625086816489,0.011418795213103294,0.29184486015740924,False,mse
c_12517,h25_48,25-48,0.03132624593871743,0.006052389740943909,0.19320507643284202,False,mse
c_12517,h49_72,49-72,0.07529638061324687,0.011508558876812458,0.1528434538696507,False,mse
c_12517,h73_96,73-96,0.08170158084508886,0.020699771121144295,0.25335826928970095,False,mse
c_12624,h01_12,1-12,0.13244050344835995,0.01981852389872074,0.14964095863957666,False,mse
c_12624,h13_24,13-24,0.07030255832879642,0.006373885087668896,0.09066362930718708,False,mse
c_12624,h25_48,25-48,0.06573260834398349,0.004825111944228411,0.07340514952606553,False,mse
c_12624,h49_72,49-72,0.09655765995127204,0.007144190836697817,0.07398885640251786,False,mse
c_12624,h73_96,73-96,0.05710020112297015,0.013430231250822544,0.23520462251786814,False,mse
c_12767,h01_12,1-12,0.0903600853951418,0.024172000586986542,0.26750750047748567,False,mse
c_12767,h13_24,13-24,0.09185536734215399,0.007418619468808174,0.08076413696299752,False,mse
c_12767,h25_48,25-48,0.1287102530020357,0.006109968293458223,0.04747071931683319,False,mse
c_12767,h49_72,49-72,0.13330466591332243,0.010369055904448032,0.07778464342118539,False,mse
c_12767,h73_96,73-96,0.10020772052146783,0.018858304247260094,0.1881921288012935,False,mse
c_12858,h01_12,1-12,0.05008186793866112,0.00543564697727561,0.10853522843702713,False,mse
c_12858,h13_24,13-24,0.026325454134124928,0.005362519063055515,0.20370091378990635,False,mse
c_12858,h25_48,25-48,0.07657345742940015,0.002855508355423808,0.03729109865590899,False,mse
c_12858,h49_72,49-72,0.04852979435166809,0.004002632573246956,0.08247783916499071,False,mse
c_12858,h73_96,73-96,0.03589614254429503,0.006912833079695702,0.19257871709099164,False,mse
c_1286,h01_12,1-12,0.07821681080233693,0.02340185083448887,0.2991920866427052,False,mse
c_1286,h13_24,13-24,0.13894961752205573,0.009692954830825329,0.06975877302639388,False,mse
c_1286,h25_48,25-48,0.12287743888132457,0.008664732798933983,0.070515245742568,False,mse
c_1286,h49_72,49-72,0.09144950605664146,0.016301913186907768,0.17826135853386443,False,mse
c_1286,h73_96,73-96,0.2039986591742881,0.02202235721051693,0.1079534409669915,False,mse
c_12971,h01_12,1-12,0.16021632284270784,0.0050464775413274765,0.03149789891434376,False,mse
c_12971,h13_24,13-24,0.055404314492848494,0.004735066555440426,0.08546385960702792,False,mse
c_12971,h25_48,25-48,0.11734387805750518,0.002038645790889859,0.017373260749834828,False,mse
c_12971,h49_72,49-72,0.1842359553278227,0.004034643527120352,0.021899327522368017,False,mse
c_12971,h73_96,73-96,0.10785434175308276,0.0066840373910963535,0.061972817064689996,False,mse
c_12974,h01_12,1-12,0.0948265132131087,0.01828032173216343,0.1927764832086685,False,mse
c_12974,h13_24,13-24,0.1831517757766328,0.0049630431458354,0.027097979939261958,False,mse
c_12974,h25_48,25-48,0.12308607638897295,0.004994451999664307,0.04057690476606784,False,mse
c_12974,h49_72,49-72,0.097911807397513,0.008312400430440903,0.08489681327904934,False,mse
c_12974,h73_96,73-96,0.14868980305925686,0.013738048262894154,0.09239401747959256,False,mse
c_12993,h01_12,1-12,0.06481516561273516,0.006069653667509556,0.09364557831688954,False,mse
c_12993,h13_24,13-24,0.07650450306696645,0.005454680882394314,0.0712988211637645,False,mse
c_12993,h25_48,25-48,0.07142690293594102,0.00395965063944459,0.055436403885463004,False,mse
c_12993,h49_72,49-72,0.08129278465824451,0.002827318152412772,0.03477944770004914,False,mse
c_12993,h73_96,73-96,0.08042480602040283,0.0063490658067166805,0.07894412334803763,False,mse
c_12999,h01_12,1-12,0.0732086457513276,0.004718186799436808,0.06444849171863347,False,mse
c_12999,h13_24,13-24,0.08327340166110882,0.007110042031854391,0.08538190934951316,False,mse
c_12999,h25_48,25-48,0.05954367511458081,0.0033341359812766314,0.055994796674217744,False,mse
c_12999,h49_72,49-72,0.06804148288757078,0.0055386582389473915,0.08140119826752254,False,mse
c_12999,h73_96,73-96,0.06831264174277293,0.009795383550226688,0.1433904955265909,False,mse
c_13020,h01_12,1-12,0.08666013037625324,0.02458069659769535,0.2836448144143457,False,mse
c_13020,h13_24,13-24,0.06412385909103681,0.005883007310330868,0.09174443637240777,False,mse
c_13020,h25_48,25-48,0.06738288674346105,0.0071103437803685665,0.1055215073738076,False,mse
c_13020,h49_72,49-72,0.062159737065813514,0.00816972367465496,0.1314311169946716,False,mse
c_13020,h73_96,73-96,0.0954780953146278,0.013549283146858215,0.1419098600805706,False,mse
c_13044,h01_12,1-12,0.14945810610911905,0.012359699234366417,0.08269674731019692,False,mse
c_13044,h13_24,13-24,0.17923595493158975,0.0038041998632252216,0.021224535359979518,False,mse
c_13044,h25_48,25-48,0.18798621365257195,0.003628887003287673,0.01930400603734924,False,mse
c_13044,h49_72,49-72,0.12981081114573573,0.006627760361880064,0.05105707531893645,False,mse
c_13044,h73_96,73-96,0.1707617443872753,0.011576401069760323,0.0677927079703864,False,mse
c_13083,h01_12,1-12,0.15741790081388374,0.011717786081135273,0.07443744339463206,False,mse
c_13083,h13_24,13-24,0.10690642135831874,0.012250828556716442,0.11459394488246206,False,mse
c_13083,h25_48,25-48,0.12917491113916957,0.008077071979641914,0.06252817910546031,False,mse
c_13083,h49_72,49-72,0.09472983834626171,0.007699800655245781,0.08128168262148877,False,mse
c_13083,h73_96,73-96,0.08166208163620962,0.017781035974621773,0.21773919569958058,False,mse
c_13166,h01_12,1-12,0.05629511465348329,0.007832151837646961,0.13912666997583498,False,mse
c_13166,h13_24,13-24,0.03878140035338632,0.006052822805941105,0.15607540601386724,False,mse
c_13166,h25_48,25-48,0.04659666280828593,0.003682702546939254,0.07903361152902964,False,mse
c_13166,h49_72,49-72,0.08035534146778028,0.0062663680873811245,0.07798321770424835,False,mse
c_13166,h73_96,73-96,0.0731674375051148,0.013712799176573753,0.18741669305577574,False,mse
c_13170,h01_12,1-12,0.08480965655104886,0.0037969984114170074,0.044770826410923004,False,mse
c_13170,h13_24,13-24,0.05397929536100427,0.003459937870502472,0.06409749974250313,False,mse
c_13170,h25_48,25-48,0.06869091350601844,0.0023578135296702385,0.03432496977149176,False,mse
c_13170,h49_72,49-72,0.06286287091064553,0.002854909747838974,0.045414880142795204,False,mse
c_13170,h73_96,73-96,0.03522498188618933,0.004474155139178038,0.1270165348454649,False,mse
c_13229,h01_12,1-12,0.15420586995333782,0.009836634621024132,0.0637889765415588,False,mse
c_13229,h13_24,13-24,0.12797939199607605,0.013461124151945114,0.10518196673694029,False,mse
c_13229,h25_48,25-48,0.08595952629983619,0.007968722842633724,0.09270319632565158,False,mse
c_13229,h49_72,49-72,0.43892002419291287,0.011309288442134857,0.025766171099006936,False,mse
c_13229,h73_96,73-96,0.11788655545908738,0.018740197643637657,0.1589680652781602,False,mse
c_13269,h01_12,1-12,0.243334001998128,0.006340561434626579,0.026057030183045927,False,mse
c_13269,h13_24,13-24,0.11726686593631526,0.009008380584418774,0.07681948786207865,False,mse
c_13269,h25_48,25-48,0.17647358094396678,0.0046703629195690155,0.026464941067025387,False,mse
c_13269,h49_72,49-72,0.12376738744623841,0.008292518556118011,0.06700083703164603,False,mse
c_13269,h73_96,73-96,0.17616812395837234,0.012238156981766224,0.06946862296528764,False,mse
c_13308,h01_12,1-12,0.0010843330177210246,0.0016652903286740184,1.5357738826158862,False,mse
c_13308,h13_24,13-24,0.0008791741673785739,0.0012192483991384506,1.386810991926518,False,mse
c_13308,h25_48,25-48,0.001671194976157832,0.0010801884345710278,0.6463569182420831,False,mse
c_13308,h49_72,49-72,0.006010820178215061,0.001544260885566473,0.2569135059410558,False,mse
c_13308,h73_96,73-96,0.0019499702498969925,0.002689213724806905,1.3791050017039814,False,mse
c_13389,h01_12,1-12,0.09988355514666614,0.015241848304867744,0.15259617343903162,False,mse
c_13389,h13_24,13-24,0.12762195290866604,0.00877482257783413,0.0687563728484387,False,mse
c_13389,h25_48,25-48,0.07603072733709615,0.006065921392291784,0.07978249853374954,False,mse
c_13389,h49_72,49-72,0.02210724201467542,0.006916659884154797,0.31286851067009264,False,mse
c_13389,h73_96,73-96,0.057785679499765735,0.01601741649210453,0.2771866080101985,False,mse
c_13403,h01_12,1-12,0.024045157737471685,0.008738387376070023,0.3634156810895952,False,mse
c_13403,h13_24,13-24,0.09253194366189835,0.002626897068694234,0.02838908343147562,False,mse
c_13403,h25_48,25-48,0.0763981416171725,0.002780386945232749,0.036393384529759085,False,mse
c_13403,h49_72,49-72,0.03353810314832428,0.004826257470995188,0.1439037100473683,False,mse
c_13403,h73_96,73-96,0.06283427835994383,0.00852897111326456,0.135737551793094,False,mse
c_13441,h01_12,1-12,0.018891612861400474,0.010766950435936451,0.5699328328887995,False,mse
c_13441,h13_24,13-24,0.06473735853564731,0.00741946417838335,0.11460869498247844,False,mse
c_13441,h25_48,25-48,0.05570331255320268,0.004170788452029228,0.07487505250330803,False,mse
c_13441,h49_72,49-72,0.035117683904010495,0.007089748978614807,0.2018854374905159,False,mse
c_13441,h73_96,73-96,0.06595605265690421,0.015486211515963078,0.2347959117038214,False,mse
c_13607,h01_12,1-12,0.10997819953683163,0.011261538602411747,0.10239791749491466,False,mse
c_13607,h13_24,13-24,0.0988806095480788,0.007953346706926823,0.08043383574673112,False,mse
c_13607,h25_48,25-48,0.06766139868872875,0.005222418811172247,0.07718461208875681,False,mse
c_13607,h49_72,49-72,0.4607508543340293,0.005686916410923004,0.012342714847795325,False,mse
c_13607,h73_96,73-96,0.036076890983348,0.013180146925151348,0.36533488795458857,False,mse
c_13615,h01_12,1-12,0.05271041221038608,0.004991154186427593,0.0946900996809912,False,mse
c_13615,h13_24,13-24,0.027815482356496113,0.005599427502602339,0.20130614421268994,False,mse
c_13615,h25_48,25-48,0.07956656414373109,0.002991757122799754,0.03760068258565705,False,mse
c_13615,h49_72,49-72,0.01698097379006691,0.00330954953096807,0.19489751129019492,False,mse
c_13615,h73_96,73-96,0.01699580904368752,0.004510052502155304,0.26536262501904256,False,mse
c_13658,h01_12,1-12,0.09678033042663026,0.008093392476439476,0.08362641913663567,False,mse
c_13658,h13_24,13-24,0.10004633770618261,0.0040426296181976795,0.04040757223987675,False,mse
c_13658,h25_48,25-48,0.13074692255145393,0.0030504651367664337,0.023331066439181074,False,mse
c_13658,h49_72,49-72,0.7709513763333288,0.00401270342990756,0.005204872256655297,False,mse
c_13658,h73_96,73-96,0.08738762054947738,0.0070940344594419,0.08117894061923084,False,mse
c_13690,h01_12,1-12,0.04112453391721241,0.01177256554365158,0.2862662362897747,False,mse
c_13690,h13_24,13-24,0.033245492557616114,0.00804302841424942,0.24192838774490846,False,mse
c_13690,h25_48,25-48,0.020471274258686036,0.005669092759490013,0.27692915877401214,False,mse
c_13690,h49_72,49-72,0.019372443544073206,0.006793249398469925,0.35066559275369513,False,mse
c_13690,h73_96,73-96,0.09099507326592197,0.015677426010370255,0.17228873440823433,False,mse
