horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
48,0.05019815521013016,0.07057090301208946,-0.15484908244839524,0.06566940143775901,0.0028224473353475332,0.0429796415614147,c_11203
96,0.052008247093380595,0.08038070305807003,-0.12182050297786629,0.07589097176668522,0.0027432849165052176,0.036147711020739236,c_11203
1,0.0006780048294774965,0.0006780048294774965,,0.0,0.0,,c_11307
4,0.2117845912650734,0.266224856527748,-1.9518124312808807,0.15495451068552943,0.010147792287170887,0.06548884728993273,c_11307
12,0.15964959278814986,0.19299331410942858,0.05652452452775214,0.19869043295503186,0.014510107226669788,0.07302871613327126,c_11307
24,0.19220107179804977,0.23019409956794656,0.016248574617663714,0.2320873662303414,0.010842629708349705,0.04671787992797782,c_11307
48,0.1922913191089554,0.32813136669609666,-0.016757604801128423,0.3254160976071187,0.008003219962120056,0.02459380473483061,c_11307
96,0.15275249545319852,0.2588920027395134,0.012707162013705475,0.26055273834573334,0.00807552132755518,0.030993807160988603,c_11307
1,0.0025784766670411408,0.0025784766670411408,,0.0,0.0,,c_11327
4,0.02470207418406442,0.029372799992961114,-0.1401272102916462,0.027508612947439903,0.0036539409775286913,0.1328289792186249,c_11327
12,0.05991223936860227,0.07686483491086839,-0.18364195084750246,0.07065087163399272,0.006016971077769995,0.08516485272737966,c_11327
24,0.06956578479412807,0.08676095808726934,-0.08885118313726559,0.08314575390521355,0.004944531247019768,0.05946823517478175,c_11327
48,0.08508504723248922,0.10325031611072304,-0.39951459042873094,0.0872775757642962,0.00519389845430851,0.05951011366694315,c_11327
96,0.0752362342547381,0.09370020820472702,-0.060765740027798776,0.09097683280009965,0.00455444073304534,0.05006154416314602,c_11327
1,0.00497619094991586,0.00497619094991586,,0.0,0.0,,c_11461
4,0.029487701498722374,0.03670213283445464,0.225091672645791,0.04169328733667645,0.008924569934606552,0.21405292085845795,c_11461
12,0.04240095529999022,0.049598786708677636,0.08339222456010809,0.05180590733229026,0.007620318792760372,0.14709362667625125,c_11461
24,0.054646186210635245,0.0689211154523177,-0.18358188279144216,0.0633509516649491,0.00608078995719552,0.09598577128494674,c_11461
48,0.039531372873558936,0.05347014860802472,0.00799913550211806,0.05368529770901972,0.004715878516435623,0.08784301694658021,c_11461
96,0.03679022353505331,0.04922395825593078,0.008525802726413012,0.049435146510285986,0.00489803496748209,0.0990800131736831,c_11461
1,0.019468003655126243,0.019468003655126243,,0.0,0.0,,c_11735
4,0.025129452882909895,0.028283473595787288,-0.718518814679451,0.02157523824195745,0.002699996344745159,0.12514329225317503,c_11735
12,0.014042040550646723,0.018178375745510306,-0.1455340366318183,0.01698443393859916,0.0025966200046241283,0.15288234003036147,c_11735
24,0.01239884493421701,0.015669859631378732,-0.08172267796475019,0.015066318315646948,0.001994249178096652,0.13236473147029876,c_11735
48,0.027715785249096125,0.03698320156525893,-0.6320045196268074,0.028949683891531294,0.0014726347289979458,0.05086876715184923,c_11735
96,0.05957360444225157,0.12402682868579533,-0.23888709593021695,0.11142939547651111,0.0015848909970372915,0.014223275557223861,c_11735
1,0.11794101858056427,0.11794101858056427,,0.0,0.0,,c_11752
4,0.15297326470213973,0.17408132597988418,-0.48880021697914144,0.14267043136915575,0.01015271432697773,0.07116200763918534,c_11752
12,0.11628357589082315,0.14585572967751465,-0.1713843073313619,0.1347639691033659,0.012576316483318806,0.09332106027296205,c_11752
24,0.09815387634622796,0.1205555098883788,-0.03250207931837101,0.11864285713986863,0.009425733238458633,0.07944627654530093,c_11752
48,0.10668526587772768,0.13545696984442462,-0.03104279376899477,0.13340220579628445,0.00797570962458849,0.05978693963102843,c_11752
96,0.10026523252691043,0.12250468711456117,-0.011607371212787099,0.12179983860286846,0.007513833232223988,0.06169000976038266,c_11752
1,0.09274654666456372,0.09274654666456372,,0.0,0.0,,c_1181
4,0.05952424359399802,0.07776531719233751,-1.2577939171602561,0.05175398533563998,0.003182982327416539,0.06150216851463616,c_1181
12,0.048948508644926114,0.061152255670407565,-1.6233341700006445,0.037755973538323044,0.0034275560174137354,0.09078182062858742,c_1181
24,0.05893902115357979,0.0730834372537039,-0.07995468752821489,0.07032604560120702,0.003023690078407526,0.04299530924223656,c_1181
48,0.08241087559020523,0.11740223046436266,0.010165566854142605,0.11800354903736979,0.003390267724171281,0.028730218301295657,c_1181
96,0.07159946358336128,0.11871109150968423,-0.016541639288011778,0.11774126887445972,0.0030074866954237223,0.02554318230280345,c_1181
1,0.10085971759301804,0.10085971759301804,,0.0,0.0,,c_1186
4,0.08069792756327315,0.0898759709818474,-3.946077922059537,0.04041225812607075,0.004261955618858337,0.10546195180587707,c_1186
12,0.05753454779812272,0.06602567874301535,-0.288276638130182,0.05817123830183784,0.006901220418512821,0.11863629896795212,c_1186
24,0.054204344877904896,0.06275228625825877,-0.07179564759452339,0.06061408568585246,0.005347664467990398,0.08822478154180195,c_1186
48,0.04762881441538011,0.056949885308797195,0.01750312977985824,0.057454925519627165,0.003944209776818752,0.06864876668356956,c_1186
96,0.0488142323259371,0.05934431889340223,0.02089012671630286,0.05997405791801819,0.003981572575867176,0.06638824708692889,c_1186
1,0.10516502713951542,0.10516502713951542,,0.0,0.0,,c_11996
4,0.06230088413170458,0.07365049684604792,-1.7237832094612155,0.044626149061779294,0.006051582284271717,0.1356061952801274,c_11996
12,0.050853870114674384,0.06279009663549599,-0.35726671716176317,0.053896250356200395,0.0050024790689349174,0.0928168292946824,c_11996
24,0.0579490319860013,0.06648607620464897,-0.757231975472844,0.05015522169206718,0.005014182534068823,0.09997329021599945,c_11996
48,0.05949680516753988,0.0728532022342655,0.009184859691211078,0.0731900979942912,0.005308522842824459,0.07253061531955486,c_11996
96,0.06378060258974463,0.07970164017916521,0.041616634195695834,0.08141372486981392,0.005152185447514057,0.0632839911913225,c_11996
1,0.10589384387609094,0.10589384387609094,,0.0,0.0,,c_12060
4,0.1250823618144581,0.1256247661914958,-582.301368860955,0.005201501986274888,0.006680027116090059,1.284249652065217,c_12060
12,0.22353153642308854,0.30620341521138444,-0.0038998809056018935,0.3056080775300124,0.009497289545834064,0.031076696737184176,c_12060
24,0.18814222516236578,0.2616635738181885,-0.0722132681587273,0.2526985094098088,0.007103254087269306,0.02810960026578449,c_12060
48,0.16482049383117492,0.21961925826653547,-0.01437247497467431,0.2180578332609983,0.006466482765972614,0.02965489782810387,c_12060
96,0.13900406150827696,0.23700037304048852,-0.022347369962824493,0.23439577949258059,0.005629647057503462,0.024017698056212906,c_12060
1,0.0865405128848129,0.0865405128848129,,0.0,0.0,,c_12158
4,0.0779369639749865,0.07961827786477678,-23.355982050393216,0.016132807693131072,0.0027909567579627037,0.1729988239524494,c_12158
12,0.05833605365300429,0.06616620917088482,-0.6017998929164956,0.05227958402838748,0.002024915535002947,0.038732433944069465,c_12158
24,0.05081251162462166,0.05937372585562981,-0.5055658008201462,0.04838875322720215,0.002152556786313653,0.044484650724655884,c_12158
48,0.053970593378091763,0.06344870548178687,-0.08479687830646898,0.06091840900242315,0.0022255945950746536,0.0365340236476978,c_12158
96,0.04823764101537042,0.05942225488128199,-0.08350153945799277,0.057086624146550746,0.00212641479447484,0.037248914719777156,c_12158
1,0.07956952306170054,0.07956952306170054,,0.0,0.0,,c_12164
4,0.07085708393438758,0.0748182677250019,-0.9231087255576738,0.053951774018555484,0.007220481522381306,0.13383214275582458,c_12164
12,0.049633867804078406,0.06000465393154808,0.0964583823554257,0.06312637555938747,0.005875295028090477,0.09307195250839595,c_12164
24,0.05501178538430318,0.06561053640146734,0.0187676018476719,0.06623501648655963,0.004562865011394024,0.068889014503679,c_12164
48,0.04588497869126154,0.05680982690066239,0.031027267978020467,0.057712207724552336,0.003885350190103054,0.06732284802977864,c_12164
