container_id,baseline,residual_mae,residual_rmse,residual_pearson_r,residual_r2,residual_std_ratio,day1_mae,day1_rmse,day1_mape,peak_mae,non_peak_mae
c_10312,ridge,0.01016407503638242,0.012879955314197332,0.18650694216637148,-0.1575762721652385,0.36578118812770494,0.34078899607516555,0.4423337526503488,26.595236155850245,0.6210477312819627,0.2524882986812432
c_10382,gru,0.06836666608277832,0.09737295072710704,0.267516994413585,0.011184391810572736,0.05977392596835098,0.5669088639165801,0.8028699695445334,15.162070602791259,1.3312173829089948,0.4679983496940324
c_10382,zero,0.06985229554720279,0.0988371585699975,,-0.018777053531371157,3.460028057949698e-20,0.568543670580216,0.8044784519617642,15.206448394545768,1.3343855160108697,0.4694347258774256
c_10382,persistence,0.07165778843442615,0.10349585863163215,,-0.11708082038563461,0.0,0.5685436705802162,0.8074545706036685,15.132723438188359,1.3544733865435121,0.46683511910261305
c_10382,ridge,0.06608863977079442,0.09618662174478987,0.26027099177866525,0.03513179609432071,0.17708394115600432,0.5633227741320344,0.8004968797571089,15.047239473335397,1.324807314800654,0.46477771592786
c_10393,gru,0.059183597126488074,0.07210013592732835,0.3479841253062945,0.031718172525780686,0.04978715260807705,1.3242618991601895,1.6037113741972249,12.16348990870374,2.612673940401112,1.1909778948938874
c_10393,zero,0.06053304212461196,0.07329125735904825,,-0.0005388555019241181,4.624077475163326e-20,1.3256113441583135,1.6049801186373183,12.178966385993046,2.612374659942925,1.1924978976978362
c_10393,persistence,0.06060612471287554,0.07332771268344576,,-0.0015344460062198806,0.0,1.3256844267465768,1.6050080010381556,12.178311289957692,2.613543981355142,1.1924575762698288
c_10393,ridge,0.05972643888411844,0.07393195596668975,0.049746748059395,-0.018108367014403326,0.16486885124304165,1.3244274660492716,1.6045386098329444,12.148473831498778,2.6233910292136495,1.1900519250322668
c_10641,gru,0.028023214694331566,0.03581973214829029,0.15944021794252608,-0.31470860760737307,0.05285636641259931,0.5865800255600667,0.7586604246313696,11.641503782235263,0.9977098610853674,0.33990212424488636
c_10641,zero,0.027806009389633096,0.035985005675682115,,-0.3268688220994753,1.0845578298668023e-19,0.5863856660782408,0.7588613836117436,11.635267233315272,0.9981162129631991,0.339347337947266
c_10641,persistence,0.042954739844052826,0.05203320043818995,,-1.774252056675389,0.0,0.5969095566131971,0.7709354518853339,11.812409629831537,1.021464362941517,0.3421766728162052
c_10641,ridge,0.028761314260436512,0.03603304631350721,0.18334368355504504,-0.3304139750194719,0.16795390818846348,0.5869592604258027,0.7585328978926102,11.650070296946142,0.9976060981908681,0.3405711577667632
c_10695,gru,0.12111559427784568,0.17191371312539608,0.07400626534446514,-0.16319827878297932,0.0717344264648555,0.6305555230341954,0.8901249856258808,19.124422082950975,1.5938101190427716,0.37706747145299113
c_10695,zero,0.12216487983722628,0.1721747485384498,,-0.16673338321984632,2.125576058009884e-20,0.631991421969198,0.8906925656951338,19.180418032077633,1.5951335470656098,0.378532967996458
c_10695,persistence,0.18014380411550568,0.2072019351418266,,-0.6897417077575445,1.7412719067216969e-16,0.5857369484027977,0.8362529116494157,18.852519792379475,1.3976650708655793,0.37207165301785516
c_10695,ridge,0.11992982617338989,0.16876807699387025,0.21253355034443683,-0.1210198774606277,0.12436497850738232,0.6292663692595477,0.8863822357228921,19.116738161803422,1.5817487185613675,0.37861311944327936
c_10733,gru,0.11197049958189269,0.14097845455004712,0.017858400795571452,-0.048406369706737395,0.030435877586064013,1.7822916727942673,2.249417387010546,4.66640730085409,1.7346161936791678,1.8135273315248492
c_10733,zero,0.111591796878508,0.1408611036169831,,-0.0466617022650655,2.460777657051033e-20,1.78192303111359,2.24935970369296,4.665389878391867,1.734729536261394,1.8128429070512357
c_10733,persistence,0.103477703410578,0.13873840499631176,,-0.015354165328500757,0.0,1.7689594604358891,2.2399511255286977,4.626489503929768,1.7682391746740918,1.7694313717970662
c_10733,ridge,0.1086756491370725,0.14206566837103793,-0.06418955729853917,-0.0646391633001342,0.1753703047203576,1.7781594491309523,2.2478764252149444,4.653947529966649,1.7461845159791392,1.7991085432648992
c_10878,gru,0.08178142639384321,0.10956321977588936,0.07903917542828834,0.002473306056734126,0.01764976638955003,0.42250069379024086,0.5660737738385182,20.215125733766996,1.0723311740651789,0.33840498457818996
