container_id,original_identity_holds,corrected_z_identity_holds,rra_sign,rra_original_space,corrected_space,orig_n_points,orig_max_abs_identity_error,orig_identity_holds,orig_mean_prophet,orig_mean_ridge_pred,orig_mean_remaining
c_14135,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.03257175064892205,-0.01363912140513155,0.0462108720540536
c_14296,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.1121144677083926,-0.02933544699621143,0.14144991470460405
c_14363,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.05864895149223815,-0.05425655639336339,0.11290550788560154
c_14388,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.015952015852376482,-0.016885183850233066,0.0009331679978565877
c_14396,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.10143445590060005,0.0011066459034555656,-0.10254110180405562
c_14413,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.05360336488546369,0.017351491544959786,0.03625187334050391
c_14416,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.04177168169979866,-0.012548198152375631,-0.029223483547423042
c_14417,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.003823604150308389,-0.004714728092470558,0.008538332242778949
c_14435,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.001375607115099416,-0.00760561269576527,0.006230005580665855
c_14471,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,152,0.0,True,0.01953387340051624,-0.006687131185940637,0.026221004586456872
c_14820,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.004624143135943645,-0.02030117206453436,0.024925315200478002
c_14855,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.03240458627196587,-0.02062291312877631,0.053027499400742195
c_14886,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.017865020853408856,-0.016259899066449538,0.034124919919858394
c_1494,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.01758427139462395,0.0013408398421517998,0.01624343155247215
c_14964,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.08035223277735626,0.0029933567930978,-0.08334558957045407
c_15030,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.17639605340841097,-0.029033335097774296,0.20542938850618522
c_15035,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.0007047345109401212,-0.016958580819821118,0.016253846308880996
c_15072,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.05872571971868185,-0.027047631892528883,0.08577335161121073
c_15179,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.059809393391475583,0.00854115062762841,-0.068350544019104
