band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
5-12,0.038465774478974694,0.04895633935294224,0.05167303744122809,0.3751003321054591,0.11999405479213965,c_12164
13-24,0.06189334646306081,0.07259858159305033,-0.44518269945767863,0.14885606058823586,0.1119441268019234,c_12164
25-48,0.035613683526510564,0.04515236227272481,0.06324857606054235,0.4672177283339982,0.0770641985625833,c_12164
49-96,0.06963103032139957,0.08859778854649075,-0.10061606468317086,0.08336539013265201,0.12217919608304378,c_12164
1-4,0.09540874536550661,0.10790593324260842,-0.4137369424778239,-0.7447176814406702,0.10626585505579263,c_12174
5-12,0.0973123035835615,0.11715810053157273,-0.10917397871751167,0.09037336116884573,0.04383003633784181,c_12174
13-24,0.09605765162000064,0.13335518956336603,-0.12407043083221048,-0.11059974810367021,0.08050942849823738,c_12174
25-48,0.10002370737397442,0.13029085695020617,-0.25880771310174566,0.07348873800862578,0.04060372922530936,c_12174
49-96,0.12614651575522873,0.16448345476733706,-0.4818434824600657,0.18359583897047493,0.06765287233517472,c_12174
1-4,0.01245788555918196,0.013631001819830006,-0.13632331735144532,0.6733811910411872,0.15170553587591845,c_12189
5-12,0.04066737871231149,0.04226704251846476,-0.47590928252026266,0.12435144235670709,0.0530648989048361,c_12189
13-24,0.022353357953239148,0.027403261688208905,-0.08369809760563252,0.1040722649982857,0.062495162314986176,c_12189
25-48,0.03169098539601327,0.046009343420927995,-0.011913037594118547,-0.19163996094074134,0.026959599064556205,c_12189
49-96,0.02900554137679724,0.03667332592369902,-0.03181647797317777,-0.21594081114230776,0.06385735443309444,c_12189
1-4,0.11150921128836669,0.13636966691627228,-0.4214542526884908,0.2384525783039848,0.044780064445319345,c_12193
5-12,0.09336250048168512,0.115037182704856,-0.3924160466732829,-0.5263161335092386,0.054652691702346594,c_12193
13-24,0.10946034973510461,0.15200192494349707,-0.24618022201667755,0.39335639774012454,0.04813435154105904,c_12193
25-48,0.09111966382202209,0.11967285227696037,0.0003601643195921822,0.31737013970939765,0.047300103148781934,c_12193
49-96,0.09787506100833648,0.12802271625407047,0.0031179789804397506,0.07049521958851099,0.0976941139913946,c_12193
1-4,0.18606986352687674,0.2265093900288356,-1.8881025744328976,0.5167552119003842,0.06263370763588876,c_12231
5-12,0.3180870585689265,0.3322301700098667,-10.740827267184201,0.17581323320618364,0.07962337471659364,c_12231
13-24,0.22638358598689945,0.26954735065017926,-1.898926957763174,0.8220754909172492,0.09412904634268328,c_12231
25-48,0.21294886407819966,0.23608798406540107,-5.586573773005723,-0.7803427097646635,0.13440941222990233,c_12231
49-96,0.3680438897603265,0.3845769400671758,-9.880998612804927,0.4795562348166138,0.09821966557704107,c_12231
1-4,0.008061622869327545,0.00950966822904499,0.20664717833277269,0.9014335228769189,1.0906329220044328,c_12237
5-12,0.04640965081863778,0.06269478423850702,-0.9960827750859775,0.11974474938168986,0.2599941254779027,c_12237
13-24,0.08275212374371342,0.08923636925517323,-6.834274262871729,-0.03594994320089982,0.27783687051334904,c_12237
25-48,0.1450773683275108,0.20880471525573913,-0.946926119785884,-0.0764258958906079,0.03713523999684059,c_12237
49-96,0.5013598016395235,0.5217550732203973,-11.140077687387036,0.3572098400593718,0.11605893562556786,c_12237
1-4,0.013250211994945894,0.015293534213998254,-5.167695280854455,-0.9666502279329751,0.2467779859064213,c_12441
5-12,0.04878846950125436,0.12149997204057164,-0.18887096733573294,-0.3556611405679776,0.02364946021740247,c_12441
13-24,0.005265101614795695,0.006463231324808733,0.09195978589078224,0.3037464556954183,0.32089135230112753,c_12441
25-48,0.023386676383166837,0.02694180931971951,-0.9072304266661435,0.2895239638079464,0.09013221637247634,c_12441
49-96,0.03503093654298043,0.05342140962692823,-0.5986771866910345,-0.008750370418871249,0.07725450793107691,c_12441
1-4,0.10371310851104903,0.10505403475238656,-23.177499415157058,0.8466914550479008,0.2720975559348069,c_12517
5-12,0.04643665040239833,0.053791772820272664,-3.7202167579782515,-0.21821359769421883,0.2819753785800162,c_12517
13-24,0.04682934561760007,0.055284684233023955,-0.9965178454985639,0.6587816451730144,0.29184486015740924,c_12517
25-48,0.057583370328838014,0.06460713042597196,-3.2534780649301815,-0.17059125782719095,0.19320507643284202,c_12517
49-96,0.06548067439821977,0.08049567635479084,-0.02774088916589479,0.37637540375336587,0.21396369223286044,c_12517
1-4,0.046713219764821734,0.05223047394973944,-0.21742403256910214,0.061001767848481325,0.4689392182084459,c_12624
5-12,0.13455064380871934,0.16145386245283797,-0.07989203403761569,-0.2079883997737802,0.04587967782298512,c_12624
13-24,0.06204548558226854,0.0708930912044527,-0.016870312877691473,-0.04321741115602806,0.09066362930718708,c_12624
25-48,0.04745104762304919,0.06652708971675363,-0.024319212879471364,-0.12618525430418498,0.07340514952606553,c_12624
49-96,0.05483867225579042,0.07817378442032093,0.03143597367647044,0.23019255072659722,0.1354205992509117,c_12624
1-4,0.04604670032522472,0.05378691663038455,-667.531475988357,-0.670507248929974,12.795954298591147,c_12767
5-12,0.08261890646155996,0.10230965095047366,-0.39138585964159534,-0.811469192084932,0.11667069698801008,c_12767
13-24,0.12436802052434044,0.13598351069668865,-1.1916107487791003,-0.24166134900398678,0.08076413696299752,c_12767
25-48,0.12544776498818555,0.14540955564223162,-0.27632009368304966,0.5221078350499699,0.04747071931683319,c_12767
49-96,0.09708175277624893,0.12512507230607967,-0.074002125097969,-0.22565953352146306,0.12629106972483448,c_12767
1-4,0.06588947659867753,0.07270636694085253,-0.19247539911104616,0.3739662737379156,0.027029007619025863,c_12858
5-12,0.03023336602519462,0.032895868418668595,-0.6604010811478886,-0.6590843598549321,0.21203563457116242,c_12858
13-24,0.023414376233837613,0.026823316455266432,-0.038181302442477305,0.5188378708305619,0.20370091378990635,c_12858
25-48,0.05784000388718488,0.08036939690708128,-0.10160248098375058,-0.14688383959611687,0.03729109865590899,c_12858
49-96,0.034373154087205544,0.04354754709300528,-0.038192371101987144,0.10844913806430509,0.1565645549473388,c_12858
1-4,0.07755299862897354,0.09360720750701394,-0.09931960853543087,0.8608875235991067,0.0344345442525707,c_1286
5-12,0.05090814124731513,0.06162770796320563,-0.23434645226470185,-0.29405247352987074,0.2710498676147853,c_1286
13-24,0.09389789127901986,0.14462263364404793,-0.08332264300239678,-0.43615656841198874,0.06975877302639388,c_1286
25-48,0.10424468517929801,0.12827450287350808,-0.08977384079305217,-0.1739446051546675,0.070515245742568,c_1286
49-96,0.10895235623100402,0.15785193093856453,0.0029245034927637414,0.08309360128216497,0.1226753489025017,c_1286
1-4,0.1446559667299923,0.17208344996875957,-0.04879432781542081,-0.84235696828228,0.027540356014382785,c_12971
5-12,0.13873540533613637,0.16675199006639632,-0.2198534834985535,-0.23510123566958205,0.022497821408755156,c_12971
13-24,0.07577546889328439,0.08266874256785743,-1.226360520140505,0.16455261461481024,0.08546385960702792,c_12971
25-48,0.09116185301226624,0.1199148704855338,-0.04429984013310917,0.46701315784998887,0.017373260749834828,c_12971
49-96,0.10185969278549689,0.15195041531796522,-0.013112956087158123,0.042279009156347996,0.038004707089935,c_12971
1-4,0.10353575695303995,0.12630324901013967,-0.510579942245968,-0.9215911780053498,0.10487769051965078,c_12974
5-12,0.07175173461741383,0.10272039994569566,-0.3186306418335578,-0.14114816633671773,0.08729221692155,c_12974
13-24,0.17305598587735116,0.19293314976993753,-0.10966385869005979,-0.5111340819962998,0.027097979939261958,c_12974
25-48,0.10287758372452054,0.12680463962652297,-0.06133486829810142,0.3666164278104863,0.04057690476606784,c_12974
49-96,0.09929577439714925,0.1303296232673884,-0.03649088309390547,-0.12631481656945512,0.0888007911324897,c_12974
1-4,0.053227491245283934,0.05608756910290423,-0.3177031863575017,-0.8766071645569072,0.052074462251969454,c_12993
5-12,0.09819997366710852,0.10797661372035805,-2.9982536007361857,0.11298861339813375,0.07200662856457797,c_12993
13-24,0.06543380075401925,0.07928797437530902,-0.07408993871154057,-0.31508879694088154,0.0712988211637645,c_12993
25-48,0.07850340359214178,0.08958983632631938,-0.5732358967550044,0.07230463786287225,0.055436403885463004,c_12993
49-96,0.07636136629672824,0.08778561958207896,-0.1520803424518815,0.12208989315146535,0.08037431108270127,c_12993
1-4,0.0796466291959588,0.09655367603313061,-0.052692773960536066,-0.5794117692948372,0.022688658366344407,c_12999
5-12,0.05219381940619032,0.058237191849290625,-0.2378970243828773,0.9542053134260378,0.10470311745403969,c_12999
13-24,0.062255698009599854,0.07914935021104304,0.09659581870840706,0.7513686720900333,0.08538190934951316,c_12999
25-48,0.0532401050424591,0.061917984156709086,-0.08134019015864546,-0.08374578892451615,0.055994796674217744,c_12999
49-96,0.0495998562147843,0.06937964445831125,0.030473362621591837,0.1865561905585778,0.12145606577782464,c_12999
1-4,0.08171612080316412,0.10175189705558094,-0.7465891294772418,0.7254554865282642,0.3428320386990148,c_13020
5-12,0.07392977790521563,0.08592096771577801,-0.29613360098785746,0.47178527489560373,0.08753242255296488,c_13020
13-24,0.06984165201500415,0.08621952809742267,-0.8078899095348442,-0.14907364627489778,0.09174443637240777,c_13020
25-48,0.07594975820322962,0.0942606991950344,-0.9568705103523012,0.20892000338225228,0.1055215073738076,c_13020
49-96,0.0691800037660703,0.08901421433668616,-0.11481719444546123,0.45054217748332426,0.1422496106328927,c_13020
1-4,0.09164406841285905,0.1129302998816541,-0.2545292888344277,0.891157778768184,0.04189590693533818,c_13044
5-12,0.14176971535469124,0.16458758271723156,0.021786836541730525,0.3292409455431222,0.04332875188063458,c_13044
13-24,0.1514622005536861,0.18559097267030664,-0.07216944822361637,0.012674852276464699,0.021224535359979518,c_13044
25-48,0.13755160064774116,0.18654114816042203,0.015315073329155382,0.41106320076710234,0.01930400603734924,c_13044
49-96,0.12403198347230242,0.15441808289372524,-0.03586860710195694,-0.15887738561701825,0.06267161173849153,c_13044
1-4,0.08379822018777153,0.09630955400814725,-0.8201326158201256,0.24086700641915748,0.08711534786970682,c_13083
5-12,0.13951889837407885,0.18407838939782634,-0.13190372015838103,0.14696113385067183,0.06441099839974099,c_13083
13-24,0.09343455183365733,0.10723351147632046,-0.0061285467257419235,0.3846921166425323,0.11459394488246206,c_13083
25-48,0.09484853058670634,0.13038354513085487,-0.018800683735744617,0.5221001664102578,0.06252817910546031,c_13083
49-96,0.07223355230696395,0.0953799471313603,-0.12369977090728201,0.4285495941094568,0.19109964634761673,c_13083
1-4,0.09077424995418124,0.10328185009341313,-4.415945366051978,-0.7764313582173534,0.137448909148969,c_13166
5-12,0.03634475332114086,0.0438307491106204,0.07174687124372892,0.5568072509222652,0.0885749017448756,c_13166
13-24,0.04087420949885146,0.04503750529162782,-0.34865752050193466,0.01241589282624661,0.15607540601386724,c_13166
25-48,0.04026710112128035,0.04871630429835994,-0.09304751367954522,-0.3910077985437489,0.07903361152902964,c_13166
49-96,0.08644867923594592,0.09693550418787127,-0.5611943269815372,-0.1819068161999023,0.1392096968784513,c_13166
1-4,0.05566440712374804,0.059072011850436215,-4.943605002302009,0.8595368975022292,0.22334002464699723,c_13170
