container_id,origin_index,ph_statistic,ph_alarm,ph_lambda
c_12164,488,0.1889521660672222,False,50.0
c_12174,488,0.0429461492212514,False,50.0
c_12189,488,0.05289721164465556,False,50.0
c_12193,488,0.0721361254065001,False,50.0
c_12231,488,4.420999290535072,False,50.0
c_12237,488,19.361713214316776,False,50.0
c_12441,488,1.1664650110989039,False,50.0
c_12517,488,1.7055547585208382,False,50.0
c_12624,488,0.03467621485212114,False,50.0
c_12767,488,0.1268793549897047,False,50.0
c_12858,488,0.06836279603286567,False,50.0
c_1286,488,0.05283406482334874,False,50.0
c_12971,488,0.1036939268610181,False,50.0
c_12974,488,0.05241553752348272,False,50.0
c_12993,488,1.2064829584132752,False,50.0
c_12999,488,0.6951339830585751,False,50.0
c_13020,488,0.1593846849909214,False,50.0
c_13044,488,0.08259459539474336,False,50.0
c_13083,488,0.10740933624530924,False,50.0
c_13166,488,1.1180498961971335,False,50.0
c_13170,488,2.1063368745195334,False,50.0
c_13229,488,0.11487917404085468,False,50.0
c_13269,488,0.004807410290656904,False,50.0
c_13308,488,0.0,False,50.0
c_13389,488,7.624665419361935,False,50.0
c_13403,488,0.09558597916686701,False,50.0
c_13441,488,0.06583531977397727,False,50.0
c_13607,488,0.1245578981100951,False,50.0
c_13615,488,2.580435345046519,False,50.0
c_13658,488,0.11126220145799814,False,50.0
c_13690,488,0.5368408778779707,False,50.0
c_1379,488,0.042166530709846446,False,50.0
c_1387,488,0.2707713409054153,False,50.0
c_13873,488,0.11959149054841267,False,50.0
c_14106,488,0.0,False,50.0
c_14135,488,0.3935463005710187,False,50.0
c_14296,488,0.3747979914744285,False,50.0
c_14363,488,0.07052518839777261,False,50.0
c_14388,488,0.48549431807386656,False,50.0
c_14396,488,2.9782147765146654,False,50.0
c_14413,488,0.023963825858826785,False,50.0
c_14416,488,0.07092000482333224,False,50.0
c_14417,488,1.4906669796751215,False,50.0
c_14435,488,0.3307786633394144,False,50.0
c_14471,488,1.435714925879882,False,50.0
c_14820,488,0.23819951999836575,False,50.0
c_14855,488,0.19647018365827285,False,50.0
c_14886,488,0.33539472766835765,False,50.0
c_1494,488,0.05141947807516745,False,50.0
c_14964,488,0.3926707048318123,False,50.0
c_15030,488,0.19062091529421588,False,50.0
c_15035,488,0.0,False,50.0
c_15072,488,0.5206683962729627,False,50.0
c_15179,488,2.166777615636491,False,50.0
c_15235,488,0.3699557610185128,False,50.0
c_15282,488,0.0344382933315794,False,50.0
c_15420,488,0.14707130106781097,False,50.0
c_15446,488,0.02483013019372571,False,50.0
c_15486,488,0.0628798975253092,False,50.0
c_15527,488,4.844754103939562,False,50.0
c_15555,488,0.1861404934722557,False,50.0
c_15570,488,0.3890414720263622,False,50.0
c_15604,488,0.12927104252376104,False,50.0
c_15616,488,0.07690258998646127,False,50.0
c_15630,488,0.4855869938549856,False,50.0
c_15640,488,16.523497018956096,False,50.0
c_15642,488,0.10277579688577343,False,50.0
c_15647,488,1.0474552461497515,False,50.0
c_15794,488,0.013229166666666667,False,50.0
c_15856,488,0.07671249686435033,False,50.0
c_16008,488,0.20197099372918403,False,50.0
