container_id,hybrid_day1_mae,global_day1_mae,delta_day1_mae,hybrid_day1_rmse,global_day1_rmse,delta_day1_rmse,hybrid_day1_mape,global_day1_mape,delta_day1_mape,hybrid_train_steps,global_train_steps,hybrid_validation_steps,global_validation_steps
c_13873,1.7445021238700509,1.8994915352927313,0.1549894114226804,3.587369695088656,3.7156164407767185,0.12824674568806227,23.808679694778668,27.052788331025507,3.244108636246839,612,612,153,153
c_14106,0.0095160960928243,0.0116870292310977,0.0021709331382733996,0.0571844252706054,0.0577216853050896,0.000537260034484198,18.976740244816085,40.174543990876074,21.19780374605999,608,608,153,153
c_14135,2.0393188248570997,4.029360111554464,1.9900412866973642,3.0833878855579204,4.814646607940406,1.7312587223824858,8.098684864700566,15.93267971931093,7.8339948546103635,614,614,154,154
c_14296,3.7667114656976137,4.331523454851574,0.5648119891539602,4.7713198231684055,5.3435951999833025,0.5722753768148969,32.9264587173493,38.873465466203236,5.947006748853937,614,614,154,154
c_14363,0.4956213173775666,0.4815883462627728,-0.01403297111479379,1.0296269413663652,0.988378433291068,-0.04124850807529723,13.7715629909292,14.45097486511778,0.6794118741885811,613,613,154,154
c_14388,0.6856642714785378,1.2869946711593203,0.6013303996807825,0.8125581756284331,1.547008234952769,0.7344500593243358,8.83917285696669,14.5484826479614,5.709309790994711,613,613,154,154
c_14396,2.308907351522688,2.011738377809525,-0.2971689737131631,2.7376817447293127,2.628258807733353,-0.10942293699595984,14.976838661910092,9.99046186194265,-4.9863767999674415,613,613,154,154
c_14413,0.5446677448275717,0.5208129042552577,-0.023854840572314018,0.713855997721813,0.7303298064354321,0.016473808713619142,19.040212251832457,17.29350713717704,-1.7467051146554162,614,614,154,154
c_14416,0.3211772898042424,0.3065713885757658,-0.014605901228476603,0.5370792362585728,0.5398534756884348,0.002774239429861991,12.801875671581213,11.849463276544627,-0.9524123950365855,614,614,154,154
c_14417,1.313010649346013,1.286211205853356,-0.02679944349265706,1.8679760037029212,1.6845319974934418,-0.18344400620947932,12.159934588317016,12.758495341007183,0.5985607526901671,614,614,154,154
