container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio,memory_score,memory_class,pct_capture_within_96,pct_capture_within_192,pct_capture_within_288,acf_lag_96,acf_lag_192,acf_lag_288,integrated_autocorr_time,decorrelation_lag_0p1
c_14106,g96,g288,-0.0006031772077600989,-0.0009162065470252959,-4.866341404658662,-0.0018095315414636964,-0.0027486196713913114,0.1586229613284601,0.0329573279880515,-0.012084487842980995,0.6916565925461646,high,0.3083434074538353,0.3092391840827332,0.30970170288905724,-0.0015852139732026004,-0.0009218765324123244,-0.0013828147986184992,0.11079951310554526,2.0
c_14135,g96,g288,0.7005294925636716,0.778488290505015,3.2145272503161646,0.025945537065950097,0.02883289727117261,-0.015281069524471835,-0.16601547924194127,0.07630690491976755,0.6682561054971647,high,0.33174389450283526,0.585235425449752,0.7647875728339331,0.8108192177782996,0.678927147789772,0.5556879672922822,1.1752942151136114,18.0
c_14296,g96,g288,0.1944554415014057,0.29795810214587615,1.2769545421444093,0.007479055866233014,0.011459925717769492,-0.4435675683927118,-0.25919383511284777,0.019097316015293103,0.21375054550316142,low,0.7862494544968386,0.8411655787986104,0.8746157551737194,0.22494815513689137,0.060535921045486545,0.037735600183650755,2.43436851665237,32.0
c_14363,g96,g288,0.029882830050256437,0.02347563129633634,0.5064770637368294,0.0070312545038273,0.005523679685277505,-0.04218617591857993,-0.0427583168997058,0.0501217504586674,0.6570315861496501,medium,0.3429684138503499,0.5873924124073274,0.7389497283611732,0.2799186639324823,0.21888978739353424,0.20270070139071508,0.26972239020800126,16.0
c_14388,g96,g288,0.22612138644412716,0.27889418175887504,2.581558612465784,0.006852160310492898,0.0084513366242134,-0.08265393242460473,-0.1704864266051106,0.02875106966064611,0.648704457510707,medium,0.3512955424892929,0.5810718973094094,0.7300602021028985,0.5279423847867553,0.42520293230646333,0.32828323668753223,1.082640413176719,21.0
c_14396,g96,g288,0.8636634631289377,1.1044675660350975,4.082145406789245,0.04112682563715331,0.052593686402039624,-0.028239080633384428,-0.22137448478447086,-0.0169120123971247,0.6329473115709353,medium,0.3670526884290647,0.5896624736303071,0.7173220868466338,0.7305600733076151,0.5087236163747123,0.35913026091326106,-0.12089540479244398,23.0
c_14413,g96,g288,0.015590661929713368,0.027718909194618724,0.20565368055815014,0.0038976636197831926,0.006929731140948608,-0.04257603903544788,-0.0804138287567906,-0.03316372616706331,0.4938920790752336,low,0.5061079209247664,0.6779061240424744,0.7235742321176484,0.10913628941009387,0.09525902510698886,0.03266986495786472,2.4013458040005844,12.0
c_14416,g96,g288,0.00038808236519499717,0.0025108735533061477,-0.015036078623552385,0.00019404785707599626,0.001255441076647379,-0.03139531384456169,-0.009469503365346504,0.011323363541513802,0.5205207759693221,low,0.4794792240306779,0.6067846150593694,0.7140811302881144,-0.06939095733668292,0.03609965385493671,0.0005608378815386072,1.8716461766096852,4.0
c_14417,g96,g288,0.05142497022946668,0.09165342475669735,0.13676905357194613,0.0017732723573243986,0.003160460982071199,-0.08889464760295751,-0.07492091695451664,0.09337247496010026,0.4373475405084336,low,0.5626524594915664,0.6842490287368568,0.764195241610309,0.23559456039511886,0.15911311022932265,0.10821241298863099,0.1006045187885718,25.0
c_14435,g96,g288,0.0834133352630983,0.14094868234656066,1.7436710740773105,0.0026621271820194,0.004498361439171698,-0.2817318799548019,-0.608180849299738,0.03803193825229079,0.7277662893374168,high,0.2722337106625831,0.335960754725106,0.8632637326803999,0.015192655035152984,0.02128810986908796,-0.0052496054924758406,0.14193837701243772,2.0
c_14471,g96,g288,0.38273092442088696,0.8503124011374306,-1.119902121776077,0.006958743306129701,0.015460223670695397,-0.09031027399806946,-0.16208349136614197,0.23352068418319694,0.6596356016821201,medium,0.34036439831787996,0.5820673792710334,0.749453751374166,0.718609958690799,0.5726157803012544,0.44426903932795814,-2.4539358311826094,20.0
c_14820,g96,g288,0.703750587171978,0.6885359327112006,2.4772632027576265,0.018279231941541893,0.01788404571160851,-0.05199316822839117,-0.09955804207539987,0.015031177749364355,0.671581705404219,high,0.32841829459578104,0.5780332652548723,0.7578422545198968,0.8441603049020246,0.7307175986632093,0.6062436840202379,0.18574500758204326,21.0
c_14855,g96,g288,0.11377571937110698,0.10913062222278014,1.6100883482448012,0.007110982499499298,0.006820663593985102,-0.013068938188332546,-0.06915450012949498,0.12943166343218104,0.6482985431252968,medium,0.35170145687470317,0.5800219259563237,0.7250033717729061,0.6359068316744607,0.4852201701683498,0.3629289512364347,-0.16390430290002822,23.0
c_14886,g96,g288,0.20510466198126442,0.5981114787905888,-1.576559670611374,0.005697359064490398,0.016614212055556105,0.004059764510646824,-0.03550186101596564,0.04655928757459471,0.6675959059076304,high,0.33240409409236954,0.5758663577610904,0.7452573930453471,0.8429563811194674,0.7129243539020512,0.5868559257061973,0.668285347493395,20.0
c_1494,g96,g288,-0.008779879411061509,-0.00216946928550249,-0.9707644774957913,-0.0017559772675546995,-0.00043389619938269397,0.0601801072792896,0.011655563724951794,0.006620343212823204,0.7405356141808522,high,0.25946438581914777,0.5001327599213345,0.7193662948036145,-0.02425320897842901,-0.03015815696030589,-0.034055783895462204,0.3783134521531284,2.0
c_14964,g96,g288,-0.02746853232383728,-0.017286063295359533,-0.6638287612326152,-0.0015696284316835118,-0.0009877774227229907,0.09319160841682539,0.008939032394636698,-0.010399596476317094,0.4845890934306115,low,0.5154109065693885,0.6605954803838937,0.6999823047187299,0.14243221059223135,0.04965219289536808,0.05614180635686193,-0.4630683429388105,19.0
c_15030,g96,g288,0.911966181463665,0.8591133529811419,4.695939137962636,0.038807067068829804,0.03655801110876092,-0.018489238732465663,-0.4742362025904155,0.0070728507010413555,0.6552052336818817,medium,0.3447947663181183,0.5815234156404805,0.741819569101538,0.7081507210328533,0.5339051757301854,0.41441867188373666,3.7054239367682165,22.0
